iclabel,glyph,usagecode
A:uc0---:00832d:茭,茭,ct
A:uc0---:00695a:楚,楚,CJKTHM
A:uc0---:0069fb:槻,槻,JK
A:uc0---:006a62:橢,橢,KTHm
A:uc0---:006955:楕,楕,JK
A:uc0---:00692d:椭,椭,C
A:uc0---:006939:椹,椹,cJt
A:uc0---:00845a:葚,葚,ct
A:uc0---:008302:茂,茂,CJKTHM
A:uc0---:006959:楙,楙,Kt
A:uc0---:008774:蝴,蝴,CJKTHM
A:uc0---:00846b:葫,葫,CKTHm
A:uc0---:006986:榆,榆,CTHm
A:uc0---:006961:楡,楡,JK
A:uc0---:006966:楦,楦,t
A:uc0---:00696b:楫,楫,cJKTHm
A:uc0---:006a13:樓,樓,JKTHM
A:uc0---:00697c:楼,楼,CJ
A:uc0---:006b16:欖,欖,KTHm
A:uc0---:006984:榄,榄,c
A:uc0---:006aec:櫬,櫬,T
A:uc0---:006ada:櫚,櫚,KTHm
A:uc0---:006988:榈,榈,c
A:uc0---:006af8:櫸,櫸,th
A:uc0---:006b05:欅,欅,J
A:uc0---:006989:榉,榉,c
A:uc0---:0077e9:矩,矩,CJKTHm
A:uc0---:00643e:搾,搾,JKTH
A:uc0---:0069a8:榨,榨,CTHm
A:uc0---:0069b4:榴,榴,CJKTHm
A:uc0---:007a3f:稿,稿,CJKTHM
A:uc0---:0069c1:槁,槁,cKTHm
A:uc0---:0069d9:槙,槙,Jt
A:uc0---:0069c7:槇,槇,J
A:uc0---:006abb:檻,檻,JKTHm
A:uc0---:0069db:槛,槛,C
A:uc0---:006ae7:櫧,櫧,t
A:uc0---:008f46:轆,轆,thm
A:uc0---:008f98:辘,辘,c
A:uc0---:006a6b:橫,橫,KTHM
A:uc0---:006a2a:横,横,CJ
A:uc0---:006a2b:樫,樫,J
A:uc0---:006aa3:檣,檣,JKT
A:uc0---:006a47:橇,橇,CJTHm
A:uc0---:008563:蕣,蕣,K
A:uc0---:006a53:橓,橓,K
A:uc0---:006a5b:橛,橛,c
A:uc0---:006aeb:櫫,櫫,t
A:uc0---:006ae5:櫥,櫥,THm
A:uc0---:006a71:橱,橱,C
A:uc0---:007c37:簷,簷,THm
A:uc0---:006a90:檐,檐,cTm
A:uc0---:006a97:檗,檗,cJKT
A:uc0---:008617:蘗,蘗,KT
A:uc0---:008616:蘖,蘖,cK
A:uc0---:006af1:櫱,櫱,K
A:uc0---:006aa0:檠,檠,ckT
A:uc0---:007a6b:穫,穫,JKTHM
A:uc0---:007372:獲,獲,JKTHM
A:uc0---:0083b7:获,获,C
A:uc0---:006b10:欐,欐,Th
A:uc0---:006b20:欠,欠,CJKTHM
A:uc0---:007f3a:缺,缺,CKTHM
A:uc0---:006b49:歉,歉,CJTHM
A:uc0---:006b5f:歟,歟,KTH
A:uc0---:006b50:歐,歐,KTHM
A:uc0---:006b27:欧,欧,CJ
A:uc0---:006b3e:款,款,CJKTHM
A:uc0---:006b3d:欽,欽,JKTHM
A:uc0---:0094a6:钦,钦,C
A:uc0---:006b4c:歌,歌,CJKTHM
A:uc0---:006b65:步,步,CKTHM
A:uc0---:006b69:歩,歩,J
A:uc0---:009f52:齒,齒,KTHM
A:uc0---:009f7f:齿,齿,C
A:uc0---:006b6f:歯,歯,J
A:uc0---:008e35:踵,踵,cJKTHm
A:uc0---:006b79:歹,歹,CTHM
A:uc0---:006bb2:殲,殲,JKTHm
A:uc0---:006b7c:歼,歼,C
A:uc0---:006b7f:歿,歿,JKTHm
A:uc0---:006ba4:殤,殤,THm
A:uc0---:006b87:殇,殇,c
A:uc0---:006b98:殘,殘,KTHM
A:uc0---:006b8b:残,残,CJ
A:uc0---:0083a9:莩,莩,cK
A:uc0---:006b9e:殞,殞,Ktm
A:uc0---:006b92:殒,殒,c
A:uc0---:006bae:殮,殮,KTHm
A:uc0---:006b93:殓,殓,c
A:uc0---:006bab:殫,殫,t
A:uc0---:006b9a:殚,殚,c
A:uc0---:006baf:殯,殯,JKTHM
A:uc0---:006ba1:殡,殡,c
A:uc0---:006bc6:毆,毆,KTHM
A:uc0---:006bb4:殴,殴,CJ
A:uc0---:006dc6:淆,淆,CJKTHm
A:uc0---:008f42:轂,轂,TH
A:uc0---:008f71:轱,轱,c
A:uc0---:008ef2:軲,軲,h
A:uc0---:006bcf:每,每,CKTHM
A:uc0---:006bce:毎,毎,J
A:uc0---:0080b2:育,育,CJKTHM
A:uc0---:006bd3:毓,毓,cJKTHM
A:uc0---:007562:畢,畢,JKTHM
A:uc0---:006bd5:毕,毕,C
A:uc0---:006bd7:毗,毗,CKTHm
A:uc0---:006bd8:毘,毘,JK
A:uc0---:006c08:氈,氈,JKTHm
A:uc0---:006be1:毡,毡,C
A:uc0---:007403:球,球,CJKTHM
A:uc0---:006bec:毬,毬,JKT
A:uc0---:009ae6:髦,髦,cTHm
A:uc0---:006c05:氅,氅,cT
A:uc0---:006c13:氓,氓,CJKTHm
A:uc0---:006c23:氣,氣,JKTHM
A:uc0---:006c14:气,气,C
A:uc0---:006c17:気,気,J
A:uc0---:006c2b:氫,氫,THm
A:uc0---:006c22:氢,氢,C
A:uc0---:006c2c:氬,氬,T
A:uc0---:006c29:氩,氩,c
A:uc0---:007da0:綠,綠,KTHM
A:uc0---:006c2f:氯,氯,CTHm
A:uc0---:0083c9:菉,菉,cKt
A:uc0---:007eff:绿,绿,C
A:uc0---:007dd1:緑,緑,J
A:uc0---:006c33:氳,氳,TH
A:uc0---:006c3e:氾,氾,cJKTHm
A:uc0---:006cdb:泛,泛,CKTHM
A:uc0---:006c4e:汎,汎,JKTm
A:uc0---:006f22:漢,漢,JKTHM
A:uc0---:006c49:汉,汉,C
A:uc0---:006c61:污,污,CTHM
A:uc0---:006c59:汙,汙,T
A:uc0---:006c5a:汚,汚,JK
A:uc0---:006e6f:湯,湯,JKTHM
A:uc0---:006c64:汤,汤,C
A:uc0---:009631:阱,阱,cTHm
A:uc0---:007a7d:穽,穽,JK
A:uc0---:006d36:洶,洶,KTHm
A:uc0---:006c79:汹,汹,C
A:uc0---:006c88:沈,沈,CJKTHM
A:uc0---:00700b:瀋,瀋,JKTHM
A:uc0---:006c89:沉,沉,CThM
A:uc0---:006c92:沒,沒,KTHM
A:uc0---:006ca1:没,没,CJ
A:uc0---:0076c5:盅,盅,CTm
A:uc0---:006e9d:溝,溝,JKTHM
A:uc0---:006c9f:沟,沟,C
A:uc0---:006fa4:澤,澤,JKTHM
A:uc0---:006ca2:沢,沢,Jt
A:uc0---:006cfd:泽,泽,C
A:uc0---:007043:灃,灃,th
A:uc0---:006ca3:沣,沣,c
A:uc0---:006ca4:沤,沤,C
A:uc0---:006f1a:漚,漚,t
A:uc0---:00701d:瀝,瀝,JKTHm
A:uc0---:006ca5:沥,沥,C
A:uc0---:006dea:淪,淪,JKTHM
A:uc0---:006ca6:沦,沦,C
A:uc0---:006ec4:滄,滄,JKTHM
A:uc0---:006ca7:沧,沧,C
A:uc0---:006ca9:沩,沩,c
A:uc0---:006cb1:沱,沱,cJTHm
A:uc0---:006cc4:泄,泄,CJKTHM
A:uc0---:006d29:洩,洩,cJKTM
A:uc0---:006cc9:泉,泉,CJKTHM
A:uc0---:006cca:泊,泊,CJKTHM
A:uc0---:006cd9:泙,泙,k
A:uc0---:006fd8:濘,濘,JTHm
A:uc0---:006cde:泞,泞,C
A:uc0---:006ce1:泡,泡,CJKTHM
A:uc0---:007b94:箔,箔,CJKTHm
A:uc0---:006ce8:注,注,CJKTHM
A:uc0---:008a3b:註,註,JKTHM
A:uc0---:006dda:淚,淚,KTHM
A:uc0---:006cea:泪,泪,CJ
A:uc0---:006d99:涙,涙,J
A:uc0---:007027:瀧,瀧,JKt
A:uc0---:006edd:滝,滝,J
A:uc0---:007018:瀘,瀘,KTm
A:uc0---:006cf8:泸,泸,c
A:uc0---:007009:瀉,瀉,JKTHM
A:uc0---:006cfb:泻,泻,C
A:uc0---:006f51:潑,潑,KTHM
A:uc0---:006cfc:泼,泼,C
A:uc0---:006e8c:溌,溌,J
A:uc0---:006d87:涇,涇,KTHm
A:uc0---:006cfe:泾,泾,c
A:uc0---:006f54:潔,潔,JKTHM
A:uc0---:006d01:洁,洁,C
A:uc0---:007051:灑,灑,JKTHM
A:uc0---:006d12:洒,洒,CJt
A:uc0---:006d2a:洪,洪,CJKTHM
A:uc0---:006d1a:洚,洚,c
A:uc0---:007aaa:窪,窪,JKTHm
A:uc0---:006d3c:洼,洼,C
A:uc0---:006f25:漥,漥,t
A:uc0---:006d79:浹,浹,KTm
A:uc0---:006dfa:淺,淺,JKTHM
A:uc0---:006d45:浅,浅,CJ
A:uc0---:006f3f:漿,漿,JKTHM
A:uc0---:006d46:浆,浆,C
A:uc0---:006f86:澆,澆,THm
A:uc0---:006d47:浇,浇,C
A:uc0---:006e5e:湞,湞,K
A:uc0---:006d48:浈,浈,c
A:uc0---:006fc1:濁,濁,JKTHm
A:uc0---:006d4a:浊,浊,C
A:uc0---:006e2c:測,測,JKTHM
A:uc0---:006d4b:测,测,C
A:uc0---:006fae:澮,澮,K
A:uc0---:006d4d:浍,浍,c
A:uc0---:006fdf:濟,濟,KTHM
A:uc0---:006d4e:济,济,C
A:uc0---:006e08:済,済,J
A:uc0---:006e3e:渾,渾,JKTHM
A:uc0---:006d51:浑,浑,C
A:uc0---:006ef8:滸,滸,JKtm
A:uc0---:006d52:浒,浒,c
A:uc0---:006fc3:濃,濃,JKTHM
A:uc0---:006d53:浓,浓,C
A:uc0---:006f6f:潯,潯,JTm
A:uc0---:006d54:浔,浔,c
A:uc0---:006d5a:浚,浚,CJKTHm
A:uc0---:006fec:濬,濬,cKTHm
A:uc0---:006d5c:浜,浜,cJK
A:uc0---:006d63:浣,浣,cJKthm
A:uc0---:006fa3:澣,澣,K
A:uc0---:006d69:浩,浩,CJKTHM
A:uc0---:006f94:澔,澔,Kt
A:uc0---:006d89:涉,涉,CKTHM
A:uc0---:006e09:渉,渉,J
A:uc0---:006d8c:涌,涌,CJKTHM
A:uc0---:006e67:湧,湧,JKTHM
A:uc0---:00849e:蒞,蒞,THM
A:uc0---:008385:莅,莅,c
A:uc0---:006fe4:濤,濤,JKTHM
A:uc0---:006d9b:涛,涛,CJ
A:uc0---:007006:瀆,瀆,JKTHm
A:uc0---:006e0e:渎,渎,c
A:uc0---:006f87:澇,澇,tm
A:uc0---:006d9d:涝,涝,C
A:uc0---:006d9e:涞,涞,c
A:uc0---:006f23:漣,漣,JKTHm
A:uc0---:006d9f:涟,涟,C
A:uc0---:006e26:渦,渦,JKTHm
A:uc0---:006da1:涡,涡,C
A:uc0---:006da2:涢,涢,c
A:uc0---:006e19:渙,渙,JKTHm
A:uc0---:006da3:涣,涣,C
A:uc0---:006ecc:滌,滌,KTHm
A:uc0---:006da4:涤,涤,C
A:uc0---:006f64:潤,潤,JKTHM
A:uc0---:006da6:润,润,C
A:uc0---:006f97:澗,澗,JKTHm
A:uc0---:006da7:涧,涧,C
A:uc0---:0078f5:磵,磵,K
A:uc0---:006f32:漲,漲,JKTHM
A:uc0---:006da8:涨,涨,C
A:uc0---:006f80:澀,澀,THm
A:uc0---:006f81:澁,澁,JK
A:uc0---:006da9:涩,涩,C
A:uc0---:006e0b:渋,渋,J
A:uc0---:006fb1:澱,澱,JKTHm
A:uc0---:006dc0:淀,淀,CJKt
A:uc0---:006de1:淡,淡,CJKTHM
A:uc0---:006fb9:澹,澹,cJKTHm
A:uc0---:006de5:淥,淥,hm
A:uc0---:006df3:淳,淳,CJKTHm
A:uc0---:006df5:淵,淵,JKTHM
A:uc0---:006e0a:渊,渊,C
A:uc0---:006e15:渕,渕,J
A:uc0---:006e05:清,清,CJTHM
A:uc0---:006df8:淸,淸,K
A:uc0---:006df9:淹,淹,CJKTHM
A:uc0---:006e34:渴,渴,CKTHM
A:uc0---:006e07:渇,渇,J
A:uc0---:006f2c:漬,漬,JKTHm
A:uc0---:006e0d:渍,渍,C
A:uc0---:006f38:漸,漸,JKTHM
A:uc0---:006e10:渐,渐,C
A:uc0---:006fa0:澠,澠,T
A:uc0---:006e11:渑,渑,c
A:uc0---:006eaa:溪,溪,CJKTHM
A:uc0---:006e13:渓,渓,J
A:uc0---:006ef2:滲,滲,JKTHM
A:uc0---:006e17:渗,渗,C
A:uc0---:006e1a:渚,渚,cJKTHm
A:uc0---:006eab:溫,溫,KTHM
A:uc0---:006e29:温,温,CJ
A:uc0---:006e38:游,游,CJKTHM
A:uc0---:00904a:遊,遊,JKTHM
A:uc0---:009808:須,須,JKTHM
A:uc0---:009b1a:鬚,鬚,JKTHm
A:uc0---:00987b:须,须,C
A:uc0---:007063:灣,灣,KTHM
A:uc0---:006e7e:湾,湾,CJ
A:uc0---:006fd5:濕,濕,KThM
A:uc0---:006ebc:溼,溼,TH
A:uc0---:006e7f:湿,湿,CJ
A:uc0---:006eff:滿,滿,JKTHM
A:uc0---:006ee1:满,满,C
A:uc0---:006e80:満,満,J
A:uc0---:006fda:濚,濚,K
A:uc0---:006f70:潰,潰,JKTHM
A:uc0---:006e83:溃,溃,C
A:uc0---:006ffa:濺,濺,THm
A:uc0---:006e85:溅,溅,C
A:uc0---:006e87:溇,溇,c
A:uc0---:006ec5:滅,滅,JKTHM
A:uc0---:00706d:灭,灭,C
A:uc0---:006ece:滎,滎,Kt
A:uc0---:008365:荥,荥,c
A:uc0---:006ed1:滑,滑,CJKTHM
A:uc0---:006eef:滯,滯,KTHM
A:uc0---:006ede:滞,滞,CJ
A:uc0---:007069:灩,灩,t
A:uc0---:006edf:滟,滟,c
A:uc0---:007005:瀅,瀅,Kt
A:uc0---:006ee2:滢,滢,c
A:uc0---:006ffe:濾,濾,JKTHm
A:uc0---:006ee4:滤,滤,C
A:uc0---:006feb:濫,濫,JKTHM
A:uc0---:006ee5:滥,滥,C
A:uc0---:007058:灘,灘,JKTHM
A:uc0---:006ee9:滩,滩,C
A:uc0---:006fa6:澦,澦,T
A:uc0---:0083cc:菌,菌,CJKTHM
A:uc0---:008548:蕈,蕈,cT
A:uc0---:006f13:漓,漓,CTHm
A:uc0---:007055:灕,灕,m
A:uc0---:007060:灠,灠,t
A:uc0---:006f2b:漫,漫,CJKTHM
A:uc0---:006f31:漱,漱,CJKTHm
A:uc0---:006f3e:漾,漾,CkTHm
A:uc0---:007001:瀁,瀁,K
A:uc0---:006f41:潁,潁,JKt
A:uc0---:00988d:颍,颍,c
A:uc0---:00704c:灌,灌,CJKTHM
A:uc0---:006f45:潅,潅,J
A:uc0---:00701f:瀟,瀟,JKTHm
A:uc0---:006f47:潇,潇,c
A:uc0---:007032:瀲,瀲,T
A:uc0---:006f4b:潋,潋,c
A:uc0---:006ff0:濰,濰,Tm
A:uc0---:006f4d:潍,潍,C
A:uc0---:006f5b:潛,潛,KTHM
A:uc0---:006f5c:潜,潜,CJ
A:uc0---:006f74:潴,潴,cJ
A:uc0---:007026:瀦,瀦,J
A:uc0---:006f84:澄,澄,CJKTHM
A:uc0---:006f82:澂,澂,ct
A:uc0---:006e9c:溜,溜,CJKTHM
A:uc0---:009724:霤,霤,T
A:uc0---:006f5f:潟,潟,cJKT
A:uc0---:00703e:瀾,瀾,JKTHM
A:uc0---:006f9c:澜,澜,C
A:uc0---:006fb3:澳,澳,CJKTHM
A:uc0---:006fbe:澾,澾,K
A:uc0---:007028:瀨,瀨,JKTHm
A:uc0---:00702c:瀬,瀬,J
A:uc0---:006fd1:濑,濑,c
A:uc0---:0095ca:闊,闊,JKTHM
A:uc0---:009614:阔,阔,C
A:uc0---:006ff6:濶,濶,J
A:uc0---:00705d:灝,灝,Kthm
A:uc0---:00704f:灏,灏,c
A:uc0---:0071c8:燈,燈,JKTHM
A:uc0---:00706f:灯,灯,CJ
A:uc0---:0070d8:烘,烘,CKTHm
A:uc0---:009748:靈,靈,KTHM
A:uc0---:007075:灵,灵,C
A:uc0---:00970a:霊,霊,J
A:uc0---:007076:灶,灶,CTHM
A:uc0---:007ac3:竃,竃,J
A:uc0---:007ac8:竈,竈,J
A:uc0---:00707d:災,災,JKTHM
A:uc0---:00707e:灾,灾,C
A:uc0---:0083d1:菑,菑,t
A:uc0---:00753e:甾,甾,t
A:uc0---:0071e6:燦,燦,JKTHM
A:uc0---:00707f:灿,灿,C
A:uc0---:00716c:煬,煬,JKTH
A:uc0---:0070ca:烊,烊,cTHm
A:uc0---:007080:炀,炀,c
A:uc0---:007210:爐,爐,KTHM
A:uc0---:00946a:鑪,鑪,Th
A:uc0---:007089:炉,炉,CJ
A:uc0---:0071c9:燉,燉,KTHm
A:uc0---:007096:炖,炖,ct
A:uc0---:007152:煒,煒,thM
A:uc0---:00709c:炜,炜,c
A:uc0---:007197:熗,熗,t
A:uc0---:007167:照,照,CJKTHM
A:uc0---:0070a4:炤,炤,KTh
A:uc0---:0070ab:炫,炫,cKTHm
A:uc0---:008852:衒,衒,JK
A:uc0---:0070ae:炮,炮,CJTHM
A:uc0---:007832:砲,砲,JKTHM
A:uc0---:0070af:炯,炯,CJKTHm
A:uc0---:0070f1:烱,烱,Kthm
A:uc0---:00518f:冏,冏,k
A:uc0---:0070b8:炸,炸,CJKTHM
A:uc0---:007149:煉,煉,JKTHM
A:uc0---:00934a:鍊,鍊,KTHM
A:uc0---:0070bc:炼,炼,C
A:uc0---:00932c:錬,錬,J
A:uc0---:0071be:熾,熾,JKTHM
A:uc0---:0070bd:炽,炽,C
A:uc0---:00720d:爍,爍,THm
A:uc0---:0070c1:烁,烁,C
A:uc0---:00721b:爛,爛,JKTHM
A:uc0---:0070c2:烂,烂,C
A:uc0---:0071d7:燗,燗,J
A:uc0---:0070c3:烃,烃,C
A:uc0---:0070f4:烴,烴,t
A:uc0---:007165:煥,煥,JKTHM
A:uc0---:007115:焕,焕,C
A:uc0---:0071ed:燭,燭,JKTHM
A:uc0---:0070db:烛,烛,C
A:uc0---:0084b8:蒸,蒸,CJKTHM
A:uc0---:0070dd:烝,烝,cJK
A:uc0---:007169:煩,煩,JKTHM
A:uc0---:0070e6:烦,烦,C
A:uc0---:0071d2:燒,燒,KTHM
A:uc0---:0070e7:烧,烧,C
A:uc0---:00713c:焼,焼,J
A:uc0---:0071c1:燁,燁,Ktm
A:uc0---:0070e8:烨,烨,c
A:uc0---:0071f4:燴,燴,THm
A:uc0---:0070e9:烩,烩,C
A:uc0---:0071d9:燙,燙,THm
A:uc0---:0070eb:烫,烫,C
A:uc0---:0071fc:燼,燼,JKTm
A:uc0---:0070ec:烬,烬,C
A:uc0---:0071b1:熱,熱,JKTHM
A:uc0---:0070ed:热,热,C
A:uc0---:007130:焰,焰,CKTHm
A:uc0---:0071c4:燄,燄,THm
A:uc0---:007114:焔,焔,J
A:uc0---:0071dc:燜,燜,TH
A:uc0---:007116:焖,焖,c
A:uc0---:0071fe:燾,燾,KThm
A:uc0---:007118:焘,焘,c
A:uc0---:007126:焦,焦,CJKTHM
A:uc0---:008315:茕,茕,c
A:uc0---:00935b:鍛,鍛,JKTHM
A:uc0---:00953b:锻,锻,C
A:uc0---:007145:煅,煅,c
A:uc0---:007146:煆,煆,T
A:uc0---:00935c:鍜,鍜,Jt
A:uc0---:008f1d:輝,輝,JKTHM
A:uc0---:007147:煇,煇,Kthm
A:uc0---:008f89:辉,辉,C
A:uc0---:00716e:煮,煮,CJKTHM
A:uc0---:007199:熙,熙,CJKTHM
A:uc0---:007155:煕,煕,J
A:uc0---:007188:熈,熈,J
A:uc0---:007189:熉,熉,K
A:uc0---:0071fb:燻,燻,JKTHm
A:uc0---:00718f:熏,熏,CJKtm
A:uc0---:007192:熒,熒,KThM
A:uc0---:008367:荧,荧,C
A:uc0---:007194:熔,熔,CJKTHm
A:uc0---:009394:鎔,鎔,JKTHM
A:uc0---:009555:镕,镕,c
A:uc0---:0071b2:熲,熲,k
A:uc0---:0071b9:熹,熹,cJKTHm
A:uc0---:0071ba:熺,熺,K
A:uc0---:0071d5:燕,燕,CJKTHM
A:uc0---:00723a:爺,爺,JKTHM
A:uc0---:007237:爷,爷,C
A:uc0---:008e4c:蹌,蹌,t
A:uc0---:008dc4:跄,跄,c
A:uc0---:007b8b:箋,箋,JKTHm
A:uc0---:007b3a:笺,笺,C
A:uc0---:007258:牘,牘,KTHm
A:uc0---:00724d:牍,牍,c
A:uc0---:00725f:牟,牟,CJKTHM
A:uc0---:00727d:牽,牽,JKTHM
A:uc0---:007275:牵,牵,C
A:uc0---:0072a7:犧,犧,KTHM
A:uc0---:00727a:牺,牺,C
A:uc0---:0072a0:犠,犠,J
A:uc0---:007281:犁,犁,CKTHm
A:uc0---:007282:犂,犂,t
A:uc0---:007284:犄,犄,cTHm
A:uc0---:0072a2:犢,犢,JKTHm
A:uc0---:00728a:犊,犊,C
A:uc0---:007296:犖,犖,TH
A:uc0---:008366:荦,荦,c
A:uc0---:008c7a:豺,豺,CKTHm
A:uc0---:0072c0:狀,狀,KTHM
A:uc0---:0072b6:状,状,CJ
A:uc0---:007377:獷,獷,THm
A:uc0---:0072b7:犷,犷,c
A:uc0---:007341:獁,獁,h
A:uc0---:007336:猶,猶,JKTHM
A:uc0---:0072b9:犹,犹,C
A:uc0---:0072fd:狽,狽,JKTHm
A:uc0---:0072c8:狈,狈,C
A:uc0---:007370:獰,獰,JKTHm
A:uc0---:0072de:狞,狞,C
A:uc0---:008c89:貉,貉,CTHm
A:uc0---:0072e2:狢,狢,J
A:uc0---:007368:獨,獨,JKTHM
A:uc0---:0072ec:独,独,CJ
A:uc0---:0072f9:狹,狹,KTHM
A:uc0---:0072ed:狭,狭,CJ
A:uc0---:007345:獅,獅,JKTHM
A:uc0---:0072ee:狮,狮,C
A:uc0---:00733e:猾,猾,CJKTHm
A:uc0---:00736a:獪,獪,JK
A:uc0---:007319:猙,猙,THm
A:uc0---:0072f0:狰,狰,C
A:uc0---:007344:獄,獄,JKTHM
A:uc0---:0072f1:狱,狱,C
A:uc0---:00733b:猻,猻,t
A:uc0---:0072f2:狲,狲,c
A:uc0---:0072f7:狷,狷,cJTH
A:uc0---:0072f8:狸,狸,CJKTH
A:uc0---:008c8d:貍,貍,T
A:uc0---:0098c6:飆,飆,thm
A:uc0---:0098c7:飇,飇,K
A:uc0---:0098d9:飙,飙,c
A:uc0---:007375:獵,獵,KTHM
A:uc0---:00730e:猎,猎,C
A:uc0---:00731f:猟,猟,J
A:uc0---:00737c:獼,獼,tm
A:uc0---:007315:猕,猕,c
A:uc0---:007380:玀,玀,TH
A:uc0---:007321:猡,猡,c
A:uc0---:00733f:猿,猿,CJKTHm
A:uc0---:008c6c:豬,豬,THM
A:uc0---:00732a:猪,猪,CJK
A:uc0---:008c93:貓,貓,THM
A:uc0---:00732b:猫,猫,CJK
A:uc0---:00875f:蝟,蝟,JKt
A:uc0---:00732c:猬,猬,c
A:uc0---:00737b:獻,獻,KTHM
A:uc0---:00732e:献,献,CJ
A:uc0---:007350:獐,獐,cKTH
A:uc0---:00737a:獺,獺,JKTH
A:uc0---:00736d:獭,獭,C
A:uc0---:00737e:獾,獾,ct
A:uc0---:0074a3:璣,璣,KTHm
A:uc0---:007391:玑,玑,c
A:uc0---:0074b5:璵,璵,K
A:uc0---:007399:玙,玙,c
A:uc0---:00739a:玚,玚,c
A:uc0---:00746a:瑪,瑪,JKTHM
A:uc0---:00739b:玛,玛,C
A:uc0---:00744b:瑋,瑋,KthM
A:uc0---:0073ae:玮,玮,c
A:uc0---:0074b0:環,環,JKTHM
A:uc0---:0073af:环,环,C
A:uc0---:0073fe:現,現,JKTHM
A:uc0---:0073b0:现,现,C
A:uc0---:007472:瑲,瑲,t
A:uc0---:0073b3:玳,玳,cJKTHm
A:uc0---:0073cd:珍,珍,CJKTHM
A:uc0---:0073ce:珎,珎,J
A:uc0---:00743a:琺,琺,KTHm
A:uc0---:0073d0:珐,珐,C
A:uc0---:0074cf:瓏,瓏,JKTHm
A:uc0---:0073d1:珑,珑,c
A:uc0---:0073f0:珰,珰,c
A:uc0---:00743f:琿,琿,JKTH
A:uc0---:0073f2:珲,珲,c
A:uc0---:007445:瑅,瑅,k
A:uc0---:0073f7:珷,珷,K
A:uc0---:007404:琄,琄,t
A:uc0---:007405:琅,琅,CJKTHm
A:uc0---:00746f:瑯,瑯,KTHm
A:uc0---:007409:琉,琉,CJKTHm
A:uc0---:007460:瑠,瑠,JKt
A:uc0---:0074a1:璡,璡,K
A:uc0---:007489:璉,璉,Kth
A:uc0---:00740f:琏,琏,c
A:uc0---:007463:瑣,瑣,JTHm
A:uc0---:007410:琐,琐,C
A:uc0---:0074ca:瓊,瓊,JKTHM
A:uc0---:00743c:琼,琼,ChM
A:uc0---:007459:瑙,瑙,cJKTHm
A:uc0---:007464:瑤,瑤,JKTHM
A:uc0---:007476:瑶,瑶,CJ
A:uc0---:007469:瑩,瑩,JKTHM
A:uc0---:0083b9:莹,莹,C
A:uc0---:0074a6:璦,璦,TH
A:uc0---:0074b8:璸,璸,kt
A:uc0---:00747d:瑽,瑽,k
A:uc0---:007481:璁,璁,ct
A:uc0---:007483:璃,璃,CJKTHM
A:uc0---:0074c8:瓈,瓈,t
A:uc0---:007487:璇,璇,cKthM
A:uc0---:0074bf:璿,璿,KT
A:uc0---:00748a:璊,璊,t
A:uc0---:0074d4:瓔,瓔,KT
A:uc0---:00748e:璎,璎,c
A:uc0---:0074da:瓚,瓚,KT
A:uc0---:0074d2:瓒,瓒,c
A:uc0---:007515:甕,甕,JKTHm
A:uc0---:0074ee:瓮,瓮,CK
A:uc0---:00750c:甌,甌,JTHm
A:uc0---:0074ef:瓯,瓯,c
A:uc0---:0074f6:瓶,瓶,CJTHM
A:uc0---:007501:甁,甁,K
A:uc0---:0074f7:瓷,瓷,CJKTHM
A:uc0---:0078c1:磁,磁,CJKThM
A:uc0---:0078da:磚,磚,THM
A:uc0---:007816:砖,砖,C
A:uc0---:00587c:塼,塼,K
A:uc0---:007f4c:罌,罌,JKTm
A:uc0---:007f42:罂,罂,c
A:uc0---:004ec0:什,什,CJKTHM
A:uc0---:00751a:甚,甚,CJKTHM
A:uc0---:00751c:甜,甜,CJTHM
A:uc0---:00751b:甛,甛,K
A:uc0---:008564:蕤,蕤,ct
A:uc0---:0089d2:角,角,CJKTHM
A:uc0---:0096fb:電,電,JKTHM
A:uc0---:007535:电,电,C
A:uc0---:005733:圳,圳,cJTHM
A:uc0---:00754e:畎,畎,cT
A:uc0---:00753d:甽,甽,cT
A:uc0---:007559:留,留,CJKTHM
A:uc0---:008015:耕,耕,CJKTHM
A:uc0---:007565:略,略,CJKTHM
A:uc0---:00756a:番,番,CJKTHM
A:uc0---:00756c:畬,畬,t
A:uc0---:007572:畲,畲,c
A:uc0---:007587:疇,疇,JKTHM
A:uc0---:007574:畴,畴,C
A:uc0---:00758f:疏,疏,CJKTHM
A:uc0---:00758e:疎,疎,JK
A:uc0---:007664:癤,癤,Kt
A:uc0---:007596:疖,疖,c
A:uc0---:007642:療,療,JKTHM
A:uc0---:007597:疗,疗,C
A:uc0---:007658:癘,癘,TH
A:uc0---:00760d:瘍,瘍,JKTHm
A:uc0---:0075a1:疡,疡,C
A:uc0---:0075a3:疣,疣,cT
A:uc0---:007621:瘡,瘡,JKTHM
A:uc0---:0075ae:疮,疮,C
A:uc0---:00760b:瘋,瘋,JTHM
A:uc0---:0075af:疯,疯,C
A:uc0---:0076b0:皰,皰,TH
A:uc0---:0075b1:疱,疱,cJKh
A:uc0---:0075b4:疴,疴,ct
A:uc0---:0075fe:痾,痾,t
A:uc0---:0075b8:疸,疸,cJKT
A:uc0---:0075b9:疹,疹,CJKTHm
A:uc0---:0080d7:胗,胗,ct
A:uc0---:0075c7:症,症,CJKTHM
A:uc0---:007665:癥,癥,THm
A:uc0---:0081c3:臃,臃,CTHm
A:uc0---:007670:癰,癰,JKt
