iclabel,glyph,usagecode
A:uc0---:007d68:絨,絨,JKTHm
A:uc0---:007ed2:绒,绒,C
A:uc0---:006d8e:涎,涎,CJKTHm
A:uc0---:006eaf:溯,溯,CJKTHm
A:uc0---:009061:遡,遡,JK
A:uc0---:006cb8:沸,沸,CJKTHM
A:uc0---:0071f6:燶,燶,h
A:uc0---:005c09:尉,尉,CJKTHm
A:uc0---:0071a8:熨,熨,cJTHm
A:uc0---:0071d0:燐,燐,JKTHm
A:uc0---:0078f7:磷,磷,CTHm
A:uc0---:0057df:域,域,CJKTHM
A:uc0---:0075fc:痼,痼,cKt
A:uc0---:00768e:皎,皎,cJKTHm
A:uc0---:007cd9:糙,糙,CTHm
A:uc0---:009e7d:鹽,鹽,KTHM
A:uc0---:0076d0:盐,盐,C
A:uc0---:005869:塩,塩,J
A:uc0---:0077bf:瞿,瞿,cJKTHM
A:uc0---:0077ac:瞬,瞬,CJKTHM
A:uc0---:00776b:睫,睫,CJKTHm
A:ucxa--:00406a:䁪,䁪,h
A:uc0---:00592f:夯,夯,Ct
A:uc0---:00739f:玟,玟,cKTHm
A:uc0---:0073c9:珉,珉,cKt
A:uc0---:007807:砇,砇,k
A:uc0---:00811b:脛,脛,JKtm
A:uc0---:0080eb:胫,胫,c
A:uc0---:006b83:殃,殃,CKTHm
A:uc0---:00881f:蠟,蠟,KTHM
A:uc0---:008721:蜡,蜡,C
A:uc0---:00874b:蝋,蝋,J
A:uc0---:0079cb:秋,秋,CJKTHM
A:uc0---:0097a6:鞦,鞦,THm
A:uc0---:007a50:穐,穐,J
A:uc0---:007a97:窗,窗,CJTHM
A:uc0---:007a93:窓,窓,JK
A:uc0---:007f69:罩,罩,CTHM
A:uc0---:00994c:饌,饌,JKt
A:uc0---:009994:馔,馔,c
A:uc0---:005718:團,團,JKTHM
A:uc0---:007cf0:糰,糰,T
A:uc0---:0056e2:团,团,C
A:uc0---:0056e3:団,団,J
A:uc0---:007e69:繩,繩,JKTHM
A:uc0---:007ef3:绳,绳,C
A:uc0---:007e04:縄,縄,J
A:uc0---:007e2f:縯,縯,KT
A:uc0---:007e9c:纜,纜,JKTHM
A:uc0---:007f06:缆,缆,C
A:uc0---:007da2:綢,綢,KTHM
A:uc0---:007d2c:紬,紬,JK
A:uc0---:007ef8:绸,绸,C
A:uc0---:007e33:縳,縳,h
A:uc0---:007d45:絅,絅,JK
A:uc0---:005f69:彩,彩,CJKTHM
A:uc0---:007db5:綵,綵,JKTHM
A:uc0---:008964:襤,襤,JKTHm
A:uc0---:008934:褴,褴,c
A:uc0---:0098ea:飪,飪,THm
A:uc0---:00996a:饪,饪,c
A:uc0---:009948:饈,饈,t
A:uc0---:009990:馐,馐,c
A:uc0---:0082d5:苕,苕,cKh
A:uc0---:007a1a:稚,稚,CJKTHM
A:uc0---:007a49:穉,穉,K
A:uc0---:008650:虐,虐,CJKTHM
A:uc0---:008654:虔,虔,cJKTHm
A:uc0---:008655:處,處,JKTHM
A:uc0---:005904:处,处,C
A:uc0---:0051e6:処,処,J
A:uc0---:00867b:虻,虻,cJT
A:uc0---:0086a4:蚤,蚤,CJKTHm
A:uc0---:008108:脈,脈,JKTHM
A:uc0---:008109:脉,脉,C
A:uc0---:005352:卒,卒,CJKTHM
A:uc0---:007dbb:綻,綻,JKTHm
A:uc0---:007efd:绽,绽,C
A:uc0---:0064fa:擺,擺,JKTHM
A:uc0---:00896c:襬,襬,T
A:uc0---:006446:摆,摆,C
A:uc0---:00893b:褻,褻,JKTHm
A:uc0---:004eb5:亵,亵,c
A:uc0---:008a71:話,話,JKTHM
A:uc0---:008bdd:话,话,C
A:uc0---:008a98:誘,誘,JKTHM
A:uc0---:008bf1:诱,诱,C
A:uc0---:006bc0:毀,毀,JTHM
A:uc0---:0071ec:燬,燬,THm
A:uc0---:006bc1:毁,毁,CK
A:uc0---:008b6d:譭,譭,tm
A:uc0---:005608:嘈,嘈,cTHm
A:uc0---:006b23:欣,欣,CJKTHM
A:uc0---:005ffb:忻,忻,CJtm
A:uc0---:008a22:訢,訢,T
A:ucxa--:004723:䜣,䜣,c
A:uc0---:008a95:誕,誕,JKTHM
A:uc0---:008bde:诞,诞,C
A:uc0---:007360:獠,獠,ct
A:uc0---:008cf0:賰,賰,k
A:uc0---:008e85:躅,躅,cJTHm
A:ucxb--:0282e2:𨋢,𨋢,hm
A:uc0---:006557:敗,敗,JKTHM
A:uc0---:008d25:败,败,C
A:uc0---:009187:醇,醇,CJKTHM
A:uc0---:004f38:伸,伸,CJKTHM
A:uc0---:0062bb:抻,抻,c
A:uc0---:009730:霰,霰,cJKT
A:uc0---:009766:靦,靦,THm
A:uc0---:00817c:腼,腼,c
A:uc0---:0056df:囟,囟,ct
A:uc0---:0098bc:颼,颼,THm
A:uc0---:0098d5:飕,飕,c
A:uc0---:007fe5:翥,翥,m
A:uc0---:0099b1:馱,馱,KTHm
A:uc0---:009a6e:驮,驮,C
A:uc0---:0099c4:駄,駄,J
A:uc0---:005c3b:尻,尻,cJK
A:uc0---:009afb:髻,髻,cJTHm
A:uc0---:009b2e:鬮,鬮,t
A:uc0---:009604:阄,阄,c
A:uc0---:009c54:鱔,鱔,THm
A:uc0---:009cdd:鳝,鳝,c
A:uc0---:006f01:漁,漁,JKTHM
A:uc0---:006e14:渔,渔,C
A:uc0---:009be7:鯧,鯧,T
A:uc0---:009cb3:鲳,鲳,c
A:ucxa--:004c7d:䱽,䱽,h
A:ucxa--:004c81:䲁,䲁,t
A:ucxa--:004c85:䲅,䲅,t
A:ucxb--:029d98:𩶘,𩶘,hm
A:uc0---:009e6e:鹮,鹮,c
A:uc0---:009d37:鴷,鴷,t
A:uc0---:009dff:鷿,鷿,t
A:uc0---:009983:馃,馃,c
A:uc0---:006d95:涕,涕,CKTHm
A:uc0---:004e00:一,一,CJKTHM
A:uc0---:0058f9:壹,壹,CJKTHm
A:uc0---:0058f1:壱,壱,J
A:uc0---:005f0c:弌,弌,J
A:uc0---:004e0a:上,上,CJKTHM
A:uc0---:004e0b:下,下,CJKTHM
A:uc0---:00842c:萬,萬,JKTHM
A:uc0---:004e07:万,万,CJK
A:uc0---:00534d:卍,卍,JK
A:uc0---:005176:其,其,CJKTHM
A:uc0---:004e93:亓,亓,ct
A:uc0---:008207:與,與,JKTHM
