"cid_hex","glyph","texname"
"u/16d","ŭ","u-u"
"u/16e","Ů","r-U"
"u/16f","ů","r-u"
"u/170","Ű","H-U"
"u/171","ű","H-u"
"u/172","Ų","k-U"
"u/173","ų","k-u"
"u/174","Ŵ","^-W"
"u/175","ŵ","^-w"
"u/176","Ŷ","^-Y"
"u/177","ŷ","^-y"
"u/178","Ÿ","""-Y"
"u/179","Ź","acute-Z"
"u/17a","ź","acute-z"
"u/17b","Ż",".-Z"
"u/17c","ż",".-z"
"u/17d","Ž","v-Z"
"u/17e","ž","v-z"
"u/192","ƒ","f"
"u/195","ƕ","texthvlig"
"u/19e","ƞ","textnrleg"
"u/1aa","ƪ","eth"
"u/1ba","ƺ","fontencoding-LELA-selectfontchar195"
"u/1c2","ǂ","textdoublepipe"
"u/1f5","ǵ","acute-g"
"u/250","ɐ","Elztrna"
"u/252","ɒ","Elztrnsa"
"u/254","ɔ","Elzopeno"
"u/256","ɖ","Elzrtld"
"u/258","ɘ","fontencoding-LEIP-selectfontchar61"
"u/259","ə","Elzschwa"
"u/25b","ɛ","varepsilon"
"u/261","ɡ","g"
"u/263","ɣ","Elzpgamma"
"u/264","ɤ","Elzpbgam"
"u/265","ɥ","Elztrnh"
"u/26c","ɬ","Elzbtdl"
"u/26d","ɭ","Elzrtll"
"u/26f","ɯ","Elztrnm"
"u/270","ɰ","Elztrnmlr"
"u/271","ɱ","Elzltlmr"
"u/272","ɲ","Elzltln"
"u/273","ɳ","Elzrtln"
"u/277","ɷ","Elzclomeg"
"u/278","ɸ","textphi"
"u/279","ɹ","Elztrnr"
"u/27a","ɺ","Elztrnrl"
"u/27b","ɻ","Elzrttrnr"
"u/27c","ɼ","Elzrl"
"u/27d","ɽ","Elzrtlr"
"u/27e","ɾ","Elzfhr"
"u/27f","ɿ","fontencoding-LEIP-selectfontchar202"
"u/282","ʂ","Elzrtls"
"u/283","ʃ","Elzesh"
"u/287","ʇ","Elztrnt"
"u/288","ʈ","Elzrtlt"
"u/28a","ʊ","Elzpupsil"
"u/28b","ʋ","Elzpscrv"
"u/28c","ʌ","Elzinvv"
"u/28d","ʍ","Elzinvw"
"u/28e","ʎ","Elztrny"
"u/290","ʐ","Elzrtlz"
"u/292","ʒ","Elzyogh"
"u/294","ʔ","Elzglst"
"u/295","ʕ","Elzreglst"
"u/296","ʖ","Elzinglst"
"u/29e","ʞ","textturnk"
"u/2a4","ʤ","Elzdyogh"
"u/2a7","ʧ","Elztesh"
"u/2bc","ʼ","acute"
"u/2c7","ˇ","textasciicaron"
"u/2c8","ˈ","Elzverts"
"u/2cc","ˌ","Elzverti"
"u/2d0","ː","Elzlmrk"
"u/2d1","ˑ","Elzhlmrk"
"u/2d2","˒","Elzsbrhr"
"u/2d3","˓","Elzsblhr"
"u/2d4","˔","Elzrais"
"u/2d5","˕","Elzlow"
"u/2d8","˘","textasciibreve"
"u/2d9","˙","textperiodcentered"
"u/2da","˚","r"
"u/2db","˛","k"
"u/2dc","˜","texttildelow"
"u/2dd","˝","H"
"u/2e5","˥","tone-55"
"u/2e6","˦","tone-44"
"u/2e7","˧","tone-33"
"u/2e8","˨","tone-22"
"u/2e9","˩","tone-11"
"u/300","̀","`"
"u/301","́","acute"
"u/302","̂","^"
"u/303","̃","~"
"u/304","̄","="
"u/306","̆","u"
"u/307","̇","."
"u/308","̈",""""
"u/30a","̊","r"
"u/30b","̋","H"
"u/30c","̌","v"
"u/30f","̏","cyrcharC"
"u/311","̑","fontencoding-LECO-selectfontchar177"
"u/318","̘","fontencoding-LECO-selectfontchar184"
"u/319","̙","fontencoding-LECO-selectfontchar185"
"u/321","̡","Elzpalh"
"u/322","̢","Elzrh"
"u/327","̧","c"
"u/328","̨","k"
"u/32a","̪","Elzsbbrg"
"u/32b","̫","fontencoding-LECO-selectfontchar203"
"u/32f","̯","fontencoding-LECO-selectfontchar207"
"u/335","̵","Elzxl"
"u/336","̶","Elzbar"
"u/337","̷","fontencoding-LECO-selectfontchar215"
"u/338","̸","fontencoding-LECO-selectfontchar216"
"u/33a","̺","fontencoding-LECO-selectfontchar218"
"u/33b","̻","fontencoding-LECO-selectfontchar219"
"u/33c","̼","fontencoding-LECO-selectfontchar220"
"u/33d","̽","fontencoding-LECO-selectfontchar221"
"u/361","͡","fontencoding-LECO-selectfontchar225"
"u/386","Ά","acute-A"
"u/388","Έ","acute-E"
"u/389","Ή","acute-H"
"u/38a","Ί","acute-I"
"u/38c","Ό","acute-O"
"u/38e","Ύ","mathrm-acuteY"
"u/38f","Ώ","mathrm-acuteOmega"
"u/390","ΐ","acute-ddot-iota"
"u/391","Α","Alpha"
"u/392","Β","Beta"
"u/393","Γ","Gamma"
"u/394","Δ","Delta"
