"cid_hex","glyph","texname"
"u/221f","∟","rightangle"
"u/2220","∠","angle"
"u/2221","∡","measuredangle"
"u/2222","∢","sphericalangle"
"u/2223","∣","mid"
"u/2224","∤","nmid"
"u/2225","∥","parallel"
"u/2226","∦","nparallel"
"u/2227","∧","wedge"
"u/2228","∨","vee"
"u/2229","∩","cap"
"u/222a","∪","cup"
"u/222b","∫","int"
"u/222c","∬","int!int"
"u/222d","∭","int!int!int"
"u/222e","∮","oint"
"u/222f","∯","surfintegral"
"u/2230","∰","volintegral"
"u/2231","∱","clwintegral"
"u/2232","∲","ElsevierGlyph-2232"
"u/2233","∳","ElsevierGlyph-2233"
"u/2234","∴","therefore"
"u/2235","∵","because"
"u/2237","∷","Colon"
"u/2238","∸","ElsevierGlyph-2238"
"u/223a","∺","mathbin-:-!!-!!-:"
"u/223b","∻","homothetic"
"u/223c","∼","sim"
"u/223d","∽","backsim"
"u/223e","∾","lazysinv"
"u/2240","≀","wr"
"u/2241","≁","notsim"
"u/2242","≂","ElsevierGlyph-2242"
"u/2243","≃","simeq"
"u/2244","≄","notsimeq"
"u/2245","≅","cong"
"u/2246","≆","approxnotequal"
"u/2247","≇","notcong"
"u/2248","≈","approx"
"u/2249","≉","notapprox"
"u/224a","≊","approxeq"
"u/224b","≋","tildetrpl"
"u/224c","≌","allequal"
"u/224d","≍","asymp"
"u/224e","≎","Bumpeq"
"u/224f","≏","bumpeq"
"u/2250","≐","doteq"
"u/2251","≑","doteqdot"
"u/2252","≒","fallingdotseq"
"u/2253","≓","risingdotseq"
"u/2254","≔",":="
"u/2255","≕","=:"
"u/2256","≖","eqcirc"
"u/2257","≗","circeq"
"u/2259","≙","estimates"
"u/225a","≚","ElsevierGlyph-225A"
"u/225b","≛","starequal"
"u/225c","≜","triangleq"
"u/225f","≟","ElsevierGlyph-225F"
"u/2260","≠","not ="
"u/2261","≡","equiv"
"u/2262","≢","notequiv"
"u/2264","≤","leq"
"u/2265","≥","geq"
"u/2266","≦","leqq"
"u/2267","≧","geqq"
"u/2268","≨","lneqq"
"u/2269","≩","gneqq"
"u/226a","≪","ll"
"u/226b","≫","gg"
"u/226c","≬","between"
"u/226d","≭","notkern-0.3emtimes"
"u/226e","≮","not<"
"u/226f","≯","not>"
"u/2270","≰","notleq"
"u/2271","≱","notgeq"
"u/2272","≲","lessequivlnt"
"u/2273","≳","greaterequivlnt"
"u/2274","≴","ElsevierGlyph-2274"
"u/2275","≵","ElsevierGlyph-2275"
"u/2276","≶","lessgtr"
"u/2277","≷","gtrless"
"u/2278","≸","notlessgreater"
"u/2279","≹","notgreaterless"
"u/227a","≺","prec"
"u/227b","≻","succ"
"u/227c","≼","preccurlyeq"
"u/227d","≽","succcurlyeq"
"u/227e","≾","precapprox"
"u/227f","≿","succapprox"
"u/2280","⊀","notprec"
"u/2281","⊁","notsucc"
"u/2282","⊂","subset"
"u/2283","⊃","supset"
"u/2284","⊄","notsubset"
"u/2285","⊅","notsupset"
"u/2286","⊆","subseteq"
"u/2287","⊇","supseteq"
"u/2288","⊈","notsubseteq"
"u/2289","⊉","notsupseteq"
"u/228a","⊊","subsetneq"
"u/228b","⊋","supsetneq"
"u/228e","⊎","uplus"
"u/228f","⊏","sqsubset"
"u/2290","⊐","sqsupset"
"u/2291","⊑","sqsubseteq"
"u/2292","⊒","sqsupseteq"
"u/2293","⊓","sqcap"
"u/2294","⊔","sqcup"
"u/2295","⊕","oplus"
"u/2296","⊖","ominus"
"u/2297","⊗","otimes"
"u/2298","⊘","oslash"
"u/2299","⊙","odot"
"u/229a","⊚","circledcirc"
"u/229b","⊛","circledast"
"u/229d","⊝","circleddash"
"u/229e","⊞","boxplus"
"u/229f","⊟","boxminus"
"u/22a0","⊠","boxtimes"
"u/22a1","⊡","boxdot"
"u/22a2","⊢","vdash"
"u/22a3","⊣","dashv"
"u/22a4","⊤","top"
"u/22a5","⊥","perp"
"u/22a7","⊧","truestate"
"u/22a8","⊨","forcesextra"
"u/22a9","⊩","Vdash"
"u/22aa","⊪","Vvdash"
"u/22ab","⊫","VDash"
"u/22ac","⊬","nvdash"
"u/22ad","⊭","nvDash"
"u/22ae","⊮","nVdash"
"u/22af","⊯","nVDash"
"u/22b2","⊲","vartriangleleft"
"u/22b3","⊳","vartriangleright"
"u/22b4","⊴","trianglelefteq"
"u/22b5","⊵","trianglerighteq"
"u/22b6","⊶","original"
"u/22b7","⊷","image"
"u/22b8","⊸","multimap"
"u/22b9","⊹","hermitconjmatrix"
"u/22ba","⊺","intercal"
"u/22bb","⊻","veebar"
"u/22be","⊾","rightanglearc"
"u/22c0","⋀","ElsevierGlyph-22C0"
"u/22c1","⋁","ElsevierGlyph-22C1"
"u/22c2","⋂","bigcap"
"u/22c3","⋃","bigcup"
"u/22c4","⋄","diamond"
"u/22c5","⋅","cdot"
"u/22c6","⋆","star"
"u/22c7","⋇","divideontimes"
"u/22c8","⋈","bowtie"
"u/22c9","⋉","ltimes"
"u/22ca","⋊","rtimes"
"u/22cb","⋋","leftthreetimes"
"u/22cc","⋌","rightthreetimes"
"u/22cd","⋍","backsimeq"
"u/22ce","⋎","curlyvee"
"u/22cf","⋏","curlywedge"
"u/22d0","⋐","Subset"
"u/22d1","⋑","Supset"
"u/22d2","⋒","Cap"
"u/22d3","⋓","Cup"
"u/22d4","⋔","pitchfork"
"u/22d6","⋖","lessdot"
"u/22d7","⋗","gtrdot"
"u/22d8","⋘","verymuchless"
"u/22d9","⋙","verymuchgreater"
"u/22da","⋚","lesseqgtr"
"u/22db","⋛","gtreqless"
"u/22de","⋞","curlyeqprec"
"u/22df","⋟","curlyeqsucc"
"u/22e2","⋢","notsqsubseteq"
"u/22e3","⋣","notsqsupseteq"
"u/22e5","⋥","Elzsqspne"
"u/22e6","⋦","lnsim"
"u/22e7","⋧","gnsim"
"u/22e8","⋨","precedesnotsimilar"
"u/22e9","⋩","succnsim"
"u/22ea","⋪","ntriangleleft"
"u/22eb","⋫","ntriangleright"
"u/22ec","⋬","ntrianglelefteq"
"u/22ed","⋭","ntrianglerighteq"
"u/22ee","⋮","vdots"
"u/22ef","⋯","cdots"
"u/22f0","⋰","upslopeellipsis"
"u/22f1","⋱","downslopeellipsis"
"u/2305","⌅","barwedge"
"u/2306","⌆","varperspcorrespond"
"u/2308","⌈","lceil"
"u/2309","⌉","rceil"
"u/230a","⌊","lfloor"
"u/230b","⌋","rfloor"
"u/2315","⌕","recorder"
"u/2316","⌖","mathchar""2208"
"u/231c","⌜","ulcorner"
"u/231d","⌝","urcorner"
"u/231e","⌞","llcorner"
"u/231f","⌟","lrcorner"
"u/2322","⌢","frown"
"u/2323","⌣","smile"
"u/233d","⌽","ElsevierGlyph-E838"
"u/23a3","⎣","Elzdlcorn"
"u/23b0","⎰","lmoustache"
"u/23b1","⎱","rmoustache"
"u/2423","␣","textvisiblespace"
"u/2460","①","ding-172"
"u/2461","②","ding-173"
"u/2462","③","ding-174"
"u/2463","④","ding-175"
"u/2464","⑤","ding-176"
"u/2465","⑥","ding-177"
"u/2466","⑦","ding-178"
"u/2467","⑧","ding-179"
"u/2468","⑨","ding-180"
"u/2469","⑩","ding-181"
"u/24c8","Ⓢ","circledS"
"u/2506","┆","Elzdshfnc"
"u/2519","┙","Elzsqfnw"
"u/2571","╱","diagup"
"u/25a0","■","ding-110"
"u/25a1","□","square"
"u/25aa","▪","blacksquare"
"u/25ad","▭","fbox-~~"
"u/25af","▯","Elzvrecto"
"u/25b1","▱","ElsevierGlyph-E381"
"u/25b2","▲","ding-115"
"u/25b3","△","bigtriangleup"
"u/25b4","▴","blacktriangle"
"u/25b5","▵","vartriangle"
"u/25b8","▸","blacktriangleright"
"u/25b9","▹","triangleright"
"u/25bc","▼","ding-116"
"u/25bd","▽","bigtriangledown"
"u/25be","▾","blacktriangledown"
"u/25bf","▿","triangledown"
"u/25c2","◂","blacktriangleleft"
"u/25c3","◃","triangleleft"
"u/25c6","◆","ding-117"
"u/25ca","◊","lozenge"
"u/25cb","○","bigcirc"
"u/25cf","●","ding-108"
"u/25d0","◐","Elzcirfl"
"u/25d1","◑","Elzcirfr"
"u/25d2","◒","Elzcirfb"
"u/25d7","◗","ding-119"
"u/25d8","◘","Elzrvbull"
"u/25e7","◧","Elzsqfl"
"u/25e8","◨","Elzsqfr"
"u/25ea","◪","Elzsqfse"
"u/25ef","◯","bigcirc"
"u/2605","★","ding-72"
"u/2606","☆","ding-73"
"u/260e","☎","ding-37"
"u/261b","☛","ding-42"
"u/261e","☞","ding-43"
"u/263e","☾","rightmoon"
"u/263f","☿","mercury"
"u/2640","♀","venus"
"u/2642","♂","male"
"u/2643","♃","jupiter"
"u/2644","♄","saturn"
"u/2645","♅","uranus"
"u/2646","♆","neptune"
"u/2647","♇","pluto"
"u/2648","♈","aries"
"u/2649","♉","taurus"
"u/264a","♊","gemini"
"u/264b","♋","cancer"
"u/264c","♌","leo"
"u/264d","♍","virgo"
"u/264e","♎","libra"
"u/264f","♏","scorpio"
"u/2650","♐","sagittarius"
"u/2651","♑","capricornus"
"u/2652","♒","aquarius"
"u/2653","♓","pisces"
"u/2660","♠","ding-171"
"u/2662","♢","diamond"
"u/2663","♣","ding-168"
"u/2665","♥","ding-170"
"u/2666","♦","ding-169"
"u/2669","♩","quarternote"
"u/266a","♪","eighthnote"
"u/266d","♭","flat"
"u/266e","♮","natural"
"u/266f","♯","sharp"
"u/2701","✁","ding-33"
"u/2702","✂","ding-34"
"u/2703","✃","ding-35"
"u/2704","✄","ding-36"
"u/2706","✆","ding-38"
"u/2707","✇","ding-39"
"u/2708","✈","ding-40"
"u/2709","✉","ding-41"
"u/270c","✌","ding-44"
"u/270d","✍","ding-45"
"u/270e","✎","ding-46"
"u/270f","✏","ding-47"
"u/2710","✐","ding-48"
"u/2711","✑","ding-49"
"u/2712","✒","ding-50"
"u/2713","✓","ding-51"
"u/2714","✔","ding-52"
"u/2715","✕","ding-53"
"u/2716","✖","ding-54"
"u/2717","✗","ding-55"
"u/2718","✘","ding-56"
"u/2719","✙","ding-57"
"u/271a","✚","ding-58"
"u/271b","✛","ding-59"
"u/271c","✜","ding-60"
"u/271d","✝","ding-61"
"u/271e","✞","ding-62"
"u/271f","✟","ding-63"
"u/2720","✠","ding-64"
"u/2721","✡","ding-65"
"u/2722","✢","ding-66"
"u/2723","✣","ding-67"
"u/2724","✤","ding-68"
"u/2725","✥","ding-69"
"u/2726","✦","ding-70"
"u/2727","✧","ding-71"
"u/2729","✩","ding-73"
"u/272a","✪","ding-74"
"u/272b","✫","ding-75"
"u/272c","✬","ding-76"
"u/272d","✭","ding-77"
"u/272e","✮","ding-78"
"u/272f","✯","ding-79"
"u/2730","✰","ding-80"
"u/2731","✱","ding-81"
"u/2732","✲","ding-82"
"u/2733","✳","ding-83"
"u/2734","✴","ding-84"
"u/2735","✵","ding-85"
"u/2736","✶","ding-86"
"u/2737","✷","ding-87"
"u/2738","✸","ding-88"
"u/2739","✹","ding-89"
"u/273a","✺","ding-90"
"u/273b","✻","ding-91"
"u/273c","✼","ding-92"
"u/273d","✽","ding-93"
"u/273e","✾","ding-94"
"u/273f","✿","ding-95"
"u/2740","❀","ding-96"
"u/2741","❁","ding-97"
"u/2742","❂","ding-98"
"u/2743","❃","ding-99"
"u/2744","❄","ding-100"
"u/2745","❅","ding-101"
"u/2746","❆","ding-102"
"u/2747","❇","ding-103"
"u/2748","❈","ding-104"
"u/2749","❉","ding-105"
"u/274a","❊","ding-106"
"u/274b","❋","ding-107"
"u/274d","❍","ding-109"
"u/274f","❏","ding-111"
"u/2750","❐","ding-112"
"u/2751","❑","ding-113"
"u/2752","❒","ding-114"
"u/2756","❖","ding-118"
"u/2758","❘","ding-120"
"u/2759","❙","ding-121"
"u/275a","❚","ding-122"
"u/275b","❛","ding-123"
"u/275c","❜","ding-124"
"u/275d","❝","ding-125"
"u/275e","❞","ding-126"
"u/2761","❡","ding-161"
"u/2762","❢","ding-162"
"u/2763","❣","ding-163"
"u/2764","❤","ding-164"
"u/2765","❥","ding-165"
"u/2766","❦","ding-166"
"u/2767","❧","ding-167"
"u/2776","❶","ding-182"
"u/2777","❷","ding-183"
"u/2778","❸","ding-184"
"u/2779","❹","ding-185"
"u/277a","❺","ding-186"
"u/277b","❻","ding-187"
"u/277c","❼","ding-188"
"u/277d","❽","ding-189"
"u/277e","❾","ding-190"
"u/277f","❿","ding-191"
"u/2780","➀","ding-192"
"u/2781","➁","ding-193"
"u/2782","➂","ding-194"
"u/2783","➃","ding-195"
"u/2784","➄","ding-196"
"u/2785","➅","ding-197"
"u/2786","➆","ding-198"
"u/2787","➇","ding-199"
"u/2788","➈","ding-200"
"u/2789","➉","ding-201"
"u/278a","➊","ding-202"
"u/278b","➋","ding-203"
"u/278c","➌","ding-204"
"u/278d","➍","ding-205"
"u/278e","➎","ding-206"
"u/278f","➏","ding-207"
"u/2790","➐","ding-208"
"u/2791","➑","ding-209"
"u/2792","➒","ding-210"
"u/2793","➓","ding-211"
"u/2794","➔","ding-212"
"u/2798","➘","ding-216"
"u/2799","➙","ding-217"
"u/279a","➚","ding-218"
"u/279b","➛","ding-219"
"u/279c","➜","ding-220"
"u/279d","➝","ding-221"
"u/279e","➞","ding-222"
"u/279f","➟","ding-223"
"u/27a0","➠","ding-224"
"u/27a1","➡","ding-225"
"u/27a2","➢","ding-226"
"u/27a3","➣","ding-227"
"u/27a4","➤","ding-228"
"u/27a5","➥","ding-229"
"u/27a6","➦","ding-230"
"u/27a7","➧","ding-231"
"u/27a8","➨","ding-232"
"u/27a9","➩","ding-233"
"u/27aa","➪","ding-234"
"u/27ab","➫","ding-235"
"u/27ac","➬","ding-236"
"u/27ad","➭","ding-237"
"u/27ae","➮","ding-238"
"u/27af","➯","ding-239"
"u/27b1","➱","ding-241"
"u/27b2","➲","ding-242"
"u/27b3","➳","ding-243"
"u/27b4","➴","ding-244"
"u/27b5","➵","ding-245"
"u/27b6","➶","ding-246"
"u/27b7","➷","ding-247"
"u/27b8","➸","ding-248"
"u/27b9","➹","ding-249"
"u/27ba","➺","ding-250"
"u/27bb","➻","ding-251"
"u/27bc","➼","ding-252"
"u/27bd","➽","ding-253"
"u/27be","➾","ding-254"
"u/27e8","⟨","langle"
"u/27e9","⟩","rangle"
"u/27f5","⟵","longleftarrow"
"u/27f6","⟶","longrightarrow"
"u/27f7","⟷","longleftrightarrow"
"u/27f8","⟸","Longleftarrow"
"u/27f9","⟹","Longrightarrow"
"u/27fa","⟺","Longleftrightarrow"
"u/27fc","⟼","longmapsto"
"u/27ff","⟿","simjoinrelleadsto"
"u/2905","⤅","ElsevierGlyph-E212"
"u/2912","⤒","UpArrowBar"
"u/2913","⤓","DownArrowBar"
"u/2923","⤣","ElsevierGlyph-E20C"
"u/2924","⤤","ElsevierGlyph-E20D"
"u/2925","⤥","ElsevierGlyph-E20B"
"u/2926","⤦","ElsevierGlyph-E20A"
"u/2927","⤧","ElsevierGlyph-E211"
"u/2928","⤨","ElsevierGlyph-E20E"
"u/2929","⤩","ElsevierGlyph-E20F"
"u/292a","⤪","ElsevierGlyph-E210"
"u/2933","⤳","ElsevierGlyph-E21C"
"u/2936","⤶","ElsevierGlyph-E21A"
"u/2937","⤷","ElsevierGlyph-E219"
"u/2940","⥀","Elolarr"
"u/2941","⥁","Elorarr"
"u/2942","⥂","ElzRlarr"
"u/2944","⥄","ElzrLarr"
"u/2947","⥇","Elzrarrx"
"u/294e","⥎","LeftRightVector"
"u/294f","⥏","RightUpDownVector"
"u/2950","⥐","DownLeftRightVector"
"u/2951","⥑","LeftUpDownVector"
"u/2952","⥒","LeftVectorBar"
"u/2953","⥓","RightVectorBar"
"u/2954","⥔","RightUpVectorBar"
"u/2955","⥕","RightDownVectorBar"
"u/2956","⥖","DownLeftVectorBar"
"u/2957","⥗","DownRightVectorBar"
"u/2958","⥘","LeftUpVectorBar"
"u/2959","⥙","LeftDownVectorBar"
"u/295a","⥚","LeftTeeVector"
"u/295b","⥛","RightTeeVector"
"u/295c","⥜","RightUpTeeVector"
"u/295d","⥝","RightDownTeeVector"
"u/295e","⥞","DownLeftTeeVector"
"u/295f","⥟","DownRightTeeVector"
"u/2960","⥠","LeftUpTeeVector"
"u/2961","⥡","LeftDownTeeVector"
"u/296e","⥮","UpEquilibrium"
"u/296f","⥯","ReverseUpEquilibrium"
"u/2970","⥰","RoundImplies"
"u/297c","⥼","ElsevierGlyph-E214"
"u/297d","⥽","ElsevierGlyph-E215"
"u/2980","⦀","Elztfnc"
"u/2985","⦅","ElsevierGlyph-3018"
"u/2986","⦆","Elroang"
"u/2993","⦓","<kern-0.58em("
"u/2994","⦔","ElsevierGlyph-E291"
"u/2999","⦙","Elzddfnc"
"u/299c","⦜","Angle"
"u/29a0","⦠","Elzlpargt"
"u/29b5","⦵","ElsevierGlyph-E260"
"u/29b6","⦶","ElsevierGlyph-E61B"
"u/29ca","⧊","ElzLap"
"u/29cb","⧋","Elzdefas"
"u/29cf","⧏","LeftTriangleBar"
"u/29d0","⧐","RightTriangleBar"
"u/29dc","⧜","ElsevierGlyph-E372"
"u/29eb","⧫","blacklozenge"
"u/29f4","⧴","RuleDelayed"
"u/2a04","⨄","Elxuplus"
"u/2a05","⨅","ElzThr"
"u/2a06","⨆","Elxsqcup"
"u/2a07","⨇","ElzInf"
"u/2a08","⨈","ElzSup"
"u/2a0d","⨍","ElzCint"
"u/2a0f","⨏","clockoint"
"u/2a10","⨐","ElsevierGlyph-E395"
"u/2a16","⨖","sqrint"
"u/2a25","⨥","ElsevierGlyph-E25A"
"u/2a2a","⨪","ElsevierGlyph-E25B"
"u/2a2d","⨭","ElsevierGlyph-E25C"
"u/2a2e","⨮","ElsevierGlyph-E25D"
"u/2a2f","⨯","ElzTimes"
"u/2a34","⨴","ElsevierGlyph-E25E"
"u/2a35","⨵","ElsevierGlyph-E25E"
"u/2a3c","⨼","ElsevierGlyph-E259"
"u/2a3f","⨿","amalg"
"u/2a53","⩓","ElzAnd"
"u/2a54","⩔","ElzOr"
"u/2a55","⩕","ElsevierGlyph-E36E"
"u/2a56","⩖","ElOr"
"u/2a5e","⩞","perspcorrespond"
"u/2a5f","⩟","Elzminhat"
"u/2a63","⩣","ElsevierGlyph-225A"
"u/2a6e","⩮","stackrel-*-="
"u/2a75","⩵","Equal"
"u/2a7d","⩽","leqslant"
"u/2a7e","⩾","geqslant"
"u/2a85","⪅","lessapprox"
"u/2a86","⪆","gtrapprox"
"u/2a87","⪇","lneq"
"u/2a88","⪈","gneq"
"u/2a89","⪉","lnapprox"
"u/2a8a","⪊","gnapprox"
"u/2a8b","⪋","lesseqqgtr"
"u/2a8c","⪌","gtreqqless"
"u/2a95","⪕","eqslantless"
"u/2a96","⪖","eqslantgtr"
"u/2a9d","⪝","Pisymbol-ppi020-117"
"u/2a9e","⪞","Pisymbol-ppi020-105"
"u/2aa1","⪡","NestedLessLess"
"u/2aa2","⪢","NestedGreaterGreater"
"u/2aaf","⪯","preceq"
"u/2ab0","⪰","succeq"
"u/2ab5","⪵","precneqq"
"u/2ab6","⪶","succneqq"
"u/2ab7","⪷","precapprox"
"u/2ab8","⪸","succapprox"
"u/2ab9","⪹","precnapprox"
"u/2aba","⪺","succnapprox"
"u/2ac5","⫅","subseteqq"
"u/2ac6","⫆","supseteqq"
"u/2acb","⫋","subsetneqq"
"u/2acc","⫌","supsetneqq"
"u/2aeb","⫫","ElsevierGlyph-E30D"
"u/2af6","⫶","Elztdcol"
"u/2afd","⫽","/-!!-/"
"u/300a","《","ElsevierGlyph-300A"
"u/300b","》","ElsevierGlyph-300B"
"u/3018","〘","ElsevierGlyph-3018"
"u/3019","〙","ElsevierGlyph-3019"
"u/301a","〚","openbracketleft"
"u/301b","〛","openbracketright"
"u/fb00","ﬀ","ff"
"u/fb01","ﬁ","fi"
"u/fb02","ﬂ","fl"
"u/fb03","ﬃ","ffi"
"u/fb04","ﬄ","ffl"
"u/1d400","𝐀","mathbf-A"
"u/1d401","𝐁","mathbf-B"
"u/1d402","𝐂","mathbf-C"
"u/1d403","𝐃","mathbf-D"
"u/1d404","𝐄","mathbf-E"
"u/1d405","𝐅","mathbf-F"
"u/1d406","𝐆","mathbf-G"
"u/1d407","𝐇","mathbf-H"
"u/1d408","𝐈","mathbf-I"
"u/1d409","𝐉","mathbf-J"
"u/1d40a","𝐊","mathbf-K"
"u/1d40b","𝐋","mathbf-L"
"u/1d40c","𝐌","mathbf-M"
"u/1d40d","𝐍","mathbf-N"
"u/1d40e","𝐎","mathbf-O"
"u/1d40f","𝐏","mathbf-P"
"u/1d410","𝐐","mathbf-Q"
"u/1d411","𝐑","mathbf-R"
"u/1d412","𝐒","mathbf-S"
"u/1d413","𝐓","mathbf-T"
"u/1d414","𝐔","mathbf-U"
"u/1d415","𝐕","mathbf-V"
"u/1d416","𝐖","mathbf-W"
"u/1d417","𝐗","mathbf-X"
"u/1d418","𝐘","mathbf-Y"
"u/1d419","𝐙","mathbf-Z"
"u/1d41a","𝐚","mathbf-a"
"u/1d41b","𝐛","mathbf-b"
"u/1d41c","𝐜","mathbf-c"
"u/1d41d","𝐝","mathbf-d"
"u/1d41e","𝐞","mathbf-e"
"u/1d41f","𝐟","mathbf-f"
"u/1d420","𝐠","mathbf-g"
"u/1d421","𝐡","mathbf-h"
"u/1d422","𝐢","mathbf-i"
"u/1d423","𝐣","mathbf-j"
"u/1d424","𝐤","mathbf-k"
"u/1d425","𝐥","mathbf-l"
"u/1d426","𝐦","mathbf-m"
"u/1d427","𝐧","mathbf-n"
"u/1d428","𝐨","mathbf-o"
"u/1d429","𝐩","mathbf-p"
"u/1d42a","𝐪","mathbf-q"
"u/1d42b","𝐫","mathbf-r"
"u/1d42c","𝐬","mathbf-s"
"u/1d42d","𝐭","mathbf-t"
"u/1d42e","𝐮","mathbf-u"
"u/1d42f","𝐯","mathbf-v"
"u/1d430","𝐰","mathbf-w"
"u/1d431","𝐱","mathbf-x"
"u/1d432","𝐲","mathbf-y"
"u/1d433","𝐳","mathbf-z"
"u/1d434","𝐴","mathmit-A"
"u/1d435","𝐵","mathmit-B"
"u/1d436","𝐶","mathmit-C"
"u/1d437","𝐷","mathmit-D"
"u/1d438","𝐸","mathmit-E"
"u/1d439","𝐹","mathmit-F"
"u/1d43a","𝐺","mathmit-G"
"u/1d43b","𝐻","mathmit-H"
"u/1d43c","𝐼","mathmit-I"
"u/1d43d","𝐽","mathmit-J"
"u/1d43e","𝐾","mathmit-K"
"u/1d43f","𝐿","mathmit-L"
"u/1d440","𝑀","mathmit-M"
"u/1d441","𝑁","mathmit-N"
"u/1d442","𝑂","mathmit-O"
"u/1d443","𝑃","mathmit-P"
"u/1d444","𝑄","mathmit-Q"
"u/1d445","𝑅","mathmit-R"
"u/1d446","𝑆","mathmit-S"
"u/1d447","𝑇","mathmit-T"
"u/1d448","𝑈","mathmit-U"
"u/1d449","𝑉","mathmit-V"
"u/1d44a","𝑊","mathmit-W"
"u/1d44b","𝑋","mathmit-X"
"u/1d44c","𝑌","mathmit-Y"
"u/1d44d","𝑍","mathmit-Z"
"u/1d44e","𝑎","mathmit-a"
"u/1d44f","𝑏","mathmit-b"
"u/1d450","𝑐","mathmit-c"
"u/1d451","𝑑","mathmit-d"
"u/1d452","𝑒","mathmit-e"
"u/1d453","𝑓","mathmit-f"
"u/1d454","𝑔","mathmit-g"
"u/1d456","𝑖","mathmit-i"
"u/1d457","𝑗","mathmit-j"
"u/1d458","𝑘","mathmit-k"
"u/1d459","𝑙","mathmit-l"
"u/1d45a","𝑚","mathmit-m"
"u/1d45b","𝑛","mathmit-n"
"u/1d45c","𝑜","mathmit-o"
"u/1d45d","𝑝","mathmit-p"
"u/1d45e","𝑞","mathmit-q"
"u/1d45f","𝑟","mathmit-r"
"u/1d460","𝑠","mathmit-s"
"u/1d461","𝑡","mathmit-t"
"u/1d462","𝑢","mathmit-u"
"u/1d463","𝑣","mathmit-v"
"u/1d464","𝑤","mathmit-w"
"u/1d465","𝑥","mathmit-x"
"u/1d466","𝑦","mathmit-y"
"u/1d467","𝑧","mathmit-z"
"u/1d468","𝑨","mathbit-A"
"u/1d469","𝑩","mathbit-B"
"u/1d46a","𝑪","mathbit-C"
"u/1d46b","𝑫","mathbit-D"
"u/1d46c","𝑬","mathbit-E"
"u/1d46d","𝑭","mathbit-F"
"u/1d46e","𝑮","mathbit-G"
"u/1d46f","𝑯","mathbit-H"
"u/1d470","𝑰","mathbit-I"
"u/1d471","𝑱","mathbit-J"
"u/1d472","𝑲","mathbit-K"
"u/1d473","𝑳","mathbit-L"
"u/1d474","𝑴","mathbit-M"
"u/1d475","𝑵","mathbit-N"
"u/1d476","𝑶","mathbit-O"
"u/1d477","𝑷","mathbit-P"
"u/1d478","𝑸","mathbit-Q"
"u/1d479","𝑹","mathbit-R"
"u/1d47a","𝑺","mathbit-S"
"u/1d47b","𝑻","mathbit-T"
"u/1d47c","𝑼","mathbit-U"
"u/1d47d","𝑽","mathbit-V"
"u/1d47e","𝑾","mathbit-W"
"u/1d47f","𝑿","mathbit-X"
"u/1d480","𝒀","mathbit-Y"
"u/1d481","𝒁","mathbit-Z"
"u/1d482","𝒂","mathbit-a"
"u/1d483","𝒃","mathbit-b"
"u/1d484","𝒄","mathbit-c"
"u/1d485","𝒅","mathbit-d"
"u/1d486","𝒆","mathbit-e"
"u/1d487","𝒇","mathbit-f"
"u/1d488","𝒈","mathbit-g"
"u/1d489","𝒉","mathbit-h"
"u/1d48a","𝒊","mathbit-i"
"u/1d48b","𝒋","mathbit-j"
"u/1d48c","𝒌","mathbit-k"
"u/1d48d","𝒍","mathbit-l"
"u/1d48e","𝒎","mathbit-m"
"u/1d48f","𝒏","mathbit-n"
"u/1d490","𝒐","mathbit-o"
"u/1d491","𝒑","mathbit-p"
"u/1d492","𝒒","mathbit-q"
"u/1d493","𝒓","mathbit-r"
"u/1d494","𝒔","mathbit-s"
"u/1d495","𝒕","mathbit-t"
"u/1d496","𝒖","mathbit-u"
"u/1d497","𝒗","mathbit-v"
"u/1d498","𝒘","mathbit-w"
"u/1d499","𝒙","mathbit-x"
"u/1d49a","𝒚","mathbit-y"
"u/1d49b","𝒛","mathbit-z"
"u/1d49c","𝒜","mathscr-A"
"u/1d49e","𝒞","mathscr-C"
"u/1d49f","𝒟","mathscr-D"
"u/1d4a2","𝒢","mathscr-G"
"u/1d4a5","𝒥","mathscr-J"
"u/1d4a6","𝒦","mathscr-K"
"u/1d4a9","𝒩","mathscr-N"
"u/1d4aa","𝒪","mathscr-O"
"u/1d4ab","𝒫","mathscr-P"
"u/1d4ac","𝒬","mathscr-Q"
"u/1d4ae","𝒮","mathscr-S"
"u/1d4af","𝒯","mathscr-T"
"u/1d4b0","𝒰","mathscr-U"
"u/1d4b1","𝒱","mathscr-V"
"u/1d4b2","𝒲","mathscr-W"
"u/1d4b3","𝒳","mathscr-X"
"u/1d4b4","𝒴","mathscr-Y"
"u/1d4b5","𝒵","mathscr-Z"
"u/1d4b6","𝒶","mathscr-a"
"u/1d4b7","𝒷","mathscr-b"
"u/1d4b8","𝒸","mathscr-c"
"u/1d4b9","𝒹","mathscr-d"
"u/1d4bb","𝒻","mathscr-f"
"u/1d4bd","𝒽","mathscr-h"
"u/1d4be","𝒾","mathscr-i"
"u/1d4bf","𝒿","mathscr-j"
"u/1d4c0","𝓀","mathscr-k"
"u/1d4c1","𝓁","mathscr-l"
"u/1d4c2","𝓂","mathscr-m"
"u/1d4c3","𝓃","mathscr-n"
"u/1d4c5","𝓅","mathscr-p"
"u/1d4c6","𝓆","mathscr-q"
"u/1d4c7","𝓇","mathscr-r"
"u/1d4c8","𝓈","mathscr-s"
"u/1d4c9","𝓉","mathscr-t"
