variants
"宮,宫"
"宴,讌"
"家,傢"
"富,冨"
"寢,寝"
"實,寔,实,実"
"寧,甯,宁,寗"
"寨,砦"
"審,审"
"寫,写"
"寬,宽,寛"
"寵,宠"
"寶,宝,寳"
"寸,吋"
"將,将"
"專,耑,专,専"
"尉,熨"
"尋,寻"
"對,对,対"
"導,导"
"尚,尙"
"尷,尴"
"尿,溺,脲"
"局,侷"
"屆,届"
"屍,尸"
"屏,摒,屛"
"屜,屉"
"屢,屡"
"層,层"
"屬,属"
"屭,屓"
"岐,歧"
"岡,崗,岗,冈"
"岩,巖,巌"
"岫,峀"
"岳,嶽"
"峰,峯"
"峴,岘"
"島,嶋,岛,嶌"
"峽,峡"
"崍,崃"
"崎,埼,碕,嵜"
"崖,厓"
"崙,侖,仑"
"崢,峥"
"嵐,岚"
"嵩,崧"
"嶄,崭"
"嶇,岖"
"嶔,崟"
"嶸,嵘"
"嶺,岭,岺"
"嶼,屿"
"巒,峦"
"巔,巅"
"巢,巣"
"巨,鉅"
"布,佈"
"帆,拚"
"帚,箒"
"帥,帅"
"師,师"
"席,蓆"
"帳,賬,帐,账"
"帶,带,帯"
"幀,帧"
"幃,帏"
"幗,帼"
"幟,帜"
"幡,旛"
"幢,橦"
"幣,币"
"幫,帮,幇"
"干,乾,幹,榦"
"年,秊"
"并,併,並,竝,幷,倂"
"幸,倖"
"幽,凼"
"床,牀"
"度,廓"
"座,坐"
"庫,库"
"庵,菴"
"廁,厕,厠"
"廂,厢"
"廄,厩,廐,廏"
"廈,厦"
"廚,厨"
"廝,厮"
"廟,庙"
"廠,厂"
"廢,废,廃"
"廣,广,広"
"廬,庐"
"廳,厅,庁"
"廾,丱"
"弄,挵,衖"
"弒,弑"
"弦,絃"
"張,张"
"強,彊,强"
"彈,弹,弾"
"彌,瀰,弥"
"彎,弯"
"彝,彛"
"彥,彦"
"彩,綵"
"彬,斌"
"彷,倣,仿,徬"
"征,徵,徴"
"從,从,従"
"徠,倈,徕"
"御,馭,禦,驭"
"德,悳,徳"
"徹,彻"
"志,誌"
"念,唸"
"恒,恆"
"恤,卹"
"恥,耻"
"恩,摁"
"恿,慂"
"悅,悦"
"悛,恂"
"悴,忰"
"悵,怅"
"悶,闷"
"悽,淒,凄"
"惠,恵"
"惡,恶,悪,噁"
"惱,恼,悩"
"惲,恽"
"惻,恻"
"愈,癒,瘉"
"愛,爱"
"愜,惬"
"愴,怆"
"愷,恺"
"愾,忾"
"愿,願"
"態,态"
"慍,愠"
"慎,愼"
"慘,惨"
"慚,慙,惭"
"慟,恸"
"慣,惯"
"慫,怂"
"慮,虑"
"慳,悭"
"慶,庆"
"憂,忧"
"憊,惫"
"憐,怜"
"憑,凭"
"憚,惮"
"憤,愤"
"憫,愍,悯"
"憲,宪"
"憶,忆"
"懇,恳"
"應,应,応"
"懟,怼"
"懣,懑"
"懲,惩"
"懶,懒"
"懷,怀,懐"
"懸,悬"
"懺,懴,忏"
"懼,惧"
"懾,慑"
"戀,恋"
"戇,戆"
"戚,慼,慽"
"戰,战,戦"
"戲,戏,戯,戱"
"戶,户,戸"
"戾,戻"
"扇,煽,搧"
"才,財,纔,财"
"托,託"
"扛,摃"
"扣,釦"
"折,摺"
"抠,摳"
"抬,擡"
"抱,抔"
"抵,牴,扺"
"拂,払"
"拈,掂"
"拋,抛"
"拐,枴,柺"
"拓,搨"
"拔,抜"
"拜,拝"
"拾,十"
"拿,拏"
"挽,輓"
"挾,挟"
"捂,摀"
"捆,綑"
"捉,杓"
"捍,扞"
"捫,扪"
"据,據,拠"
"捶,箠,搥"
"捻,撚"
"掃,扫"
"掄,抡"
"掘,撅"
"掙,挣"
"掛,挂,罣"
"掩,弇,揞"
"揀,拣"
"插,揷,挿"
"揚,扬,敭"
"換,换"
"揭,掲"
"揮,挥"
"損,损"
"搔,掻"
"搖,摇,揺"
"搗,捣,擣"
"搜,蒐,捜"
"搵,揾"
"搶,抢"
"搾,榨"
"摑,掴"
"摟,搂"
"摯,挚"
"摻,掺"
"撈,捞"
"撐,撑"
"撓,挠"
"撢,掸"
"撥,拨"
"撫,抚,拊"
"撲,扑"
"撳,揿,搇"
"撻,挞"
"撾,挝"
"撿,捡"
"擁,拥"
"擇,择,択"
"擊,击,撃"
"擋,挡"
"擔,担"
"擠,挤"
"擬,拟"
"擰,拧"
"擱,搁"
"擲,掷"
"擴,扩,拡"
"擷,撷"
"擺,襬,摆"
"擻,擞"
"擾,扰"
"攀,扳"
"攆,撵"
"攏,拢"
"攔,拦"
"攙,搀"
"攜,携"
"攝,摄,摂"
"攢,攒,撍"
"攣,挛"
"攤,摊"
"攪,搅,撹"
"攬,揽,擥"
"收,収"
"效,傚,効"
"敕,勅"
"敗,败"
"敘,叙,敍"
"教,敎"
"敦,惇"
"敵,敌"
"數,数"
"斂,歛,敛"
"斃,毙"
"斕,斓"
"斗,鬥,闘,鬪"
"斤,筋,觔"
"斬,斩"
"斷,断"
"旁,傍"
"旗,旂"
"既,旣"
"昂,昻"
"昆,崑"
"映,暎"
"是,昰"
"時,时"
"晃,晄"
"晅,烜"
"晉,晋"
"晒,曬"
"晚,晩"
"晝,昼"
"晰,晳"
"暈,晕"
"暉,晖"
"暋,忞,敃"
"暖,煖,諼"
"暗,闇"
"暘,旸"
"暢,畅"
"暨,曁"
"暫,暂"
"暱,昵"
"曄,晔"
"曆,歷,历,暦,歴"
"曇,昙"
"曉,晓,暁"
"曖,暧"
"曠,旷,昿"
"曲,麴,麹"
"曳,拽"
"書,书"
"曹,曺"
"曾,曽"
"會,会"
"朝,晁"
"期,朞"
"朧,矓,胧,眬"
"札,箚,劄"
"朱,硃"
"朴,樸"
"朵,朶"
"村,邨"
"杠,槓"
"杯,盃"
"杰,傑"
"東,东"
"松,鬆"
"果,菓"
"柄,棅"
"柏,栢"
"某,私"
"查,査"
"柩,柾"
"柳,檉"
"柵,栅"
"栗,慄"
"核,覈"
"桝,枡"
"桿,杆"
"梁,樑"
"梅,楳"
"條,条"
"梟,鴞,枭,鸮"
"棄,弃"
"棋,碁"
"棗,枣"
"棟,栋"
"棧,栈,桟"
"棲,栖"
"棹,櫂"
"椎,槌"
"椒,茭"
"椹,葚"
"楊,杨"
"楓,枫"
"楞,稜,棱"
"楠,枏"
"楨,桢"
"業,业"
"極,极"
"概,槪"
"榆,楡"
"榮,荣,栄"
"構,搆,构"
"槍,鎗,枪"
"槙,槇"
"槨,椁"
"槳,桨"
"樁,桩"
"樂,乐,楽"
"樅,枞"
"樓,楼"
"標,标"
"樞,枢"
"樣,样,様"
"樹,树"
"樺,桦"
"橋,桥"
"機,机"
"橢,楕,椭"
"橫,横"
"檔,档"
"檗,蘗,蘖,櫱"
"檜,桧"
"檢,检,検"
"檮,梼"
"檳,槟"
"檸,柠"
"檻,槛"
"櫃,柜"
"櫓,艪,橹"
"櫚,榈"
"櫛,栉"
"櫝,椟"
"櫟,檪,栎"
"櫥,橱"
"櫨,栌"
"櫸,欅,榉"
"櫺,欞,棂"
"櫻,樱,桜"
"欄,栏,欗"
"權,权,権"
"欒,栾"
"欖,榄"
"欠,缺,歉"
"欣,忻,訢,䜣"
"欲,慾"
"欽,钦"
"歎,嘆,叹"
"歐,欧"
"歡,欢,歓,驩"
"步,歩"
"歲,岁,歳"
"歸,皈,归,帰"
"殉,徇"
"殘,残"
"殞,殒"
"殤,殇"
"殫,殚"
"殮,殓"
"殯,殡"
"殲,歼"
"殷,慇"
"殺,杀"
"殼,壳,殻"
"毀,燬,毁,譭"
"毆,殴"
"每,毎"
"毗,毘"
"氈,毡"
"氣,气,気"
"氫,氢"
"氬,氩"
"氾,泛,汎"
"污,汙,汚"
"決,决"
"沈,瀋,沉"
"沒,没"
"沖,衝,冲"
"沤,漚"
"沾,霑"
"況,况"
"泄,洩"
"泡,箔"
"泥,坭"
"注,註"
"洞,峒,硐"
"洪,洚"
"洶,汹"
"浚,濬"
"浣,澣"
"浩,澔"
"涇,泾"
"涉,渉"
"涌,湧"
"涼,凉"
"淚,泪,涙"
"淡,澹"
"淨,净,浄,凈"
"淪,沦"
"淵,渊,渕"
"淺,浅"
"清,淸"
"渙,涣"
"減,减"
"渦,涡"
"測,测"
"渴,渇"
"游,遊"
"渺,淼"
"渾,浑"
"湊,凑"
"湞,浈"
"湯,汤"
"溉,漑"
"源,沅"
"溜,霤"
"溝,沟"
"溪,渓"
"溫,温"
"溯,遡"
"滄,沧"
"滅,灭"
"滌,涤"
"滎,荥"
"滬,沪"
"滯,滞"
"滲,渗"
"滸,浒"
"滾,滚"
"滿,满,満"
"漁,渔"
"漓,灕"
"漢,汉"
"漣,涟"
"漬,渍"
"漲,涨"
"漸,渐"
"漾,瀁"
"漿,浆"
"潁,颍"
"潑,泼,溌"
"潔,洁"
"潛,潜"
"潤,润"
"潯,浔"
"潰,溃"
"潴,瀦"
"澀,澁,涩,渋"
"澄,澂"
"澆,浇"
"澇,涝"
"澐,沄"
"澗,涧,磵"
"澠,渑"
"澤,沢,泽"
"澮,浍"
"澱,淀"
"濁,浊"
"濃,浓"
"濕,溼,湿"
"濘,泞"
"濟,济,済"
"濤,涛"
"濫,滥"
"濰,潍"
"濱,瀕,滨,濒"
"濺,溅"
"濾,滤"
"瀅,滢"
"瀆,渎"
"瀉,泻"
"瀏,浏"
"瀘,泸"
"瀝,沥"
"瀟,潇"
"瀧,滝"
"瀨,瀬,濑"
"瀲,潋"
"瀾,澜"
"灃,沣"
"灌,潅"
"灑,洒"
"灘,滩"
"灝,灏"
"灣,湾"
"灤,滦"
"灩,滟"
"灶,竃,竈"
"災,灾,菑,甾"
"炫,衒"
"炮,砲"
"炯,烱,冏"
"為,爲,为"
"烃,烴"
"烏,乌"
"烽,熢"
"焊,銲"
"無,无"
"焰,燄,焔"
"煆,鍜"
"煉,鍊,炼,錬"
"煒,炜"
"煙,烟,菸"
"煥,焕"
"照,炤"
"煩,烦"
"煬,烊,炀"
"熒,荧"
"熔,鎔,镕"
"熙,煕,熈"
"熱,热"
"熹,熺"
"熾,炽"
"燁,烨"
"燈,灯"
"燉,炖"
"燐,磷"
"燒,烧,焼"
"燙,烫"
"燜,焖"
"營,营,営"
"燦,灿"
"燭,烛"
"燴,烩"
"燻,熏"
"燼,烬"
"燾,焘"
"爍,烁"
"爐,鑪,炉"
"爛,烂,燗"
"爭,争"
"爺,爷"
"爾,尔"
"牆,墻,墙"
"版,板,闆"
"牘,牍"
"牽,牵"
"犁,犂"
"犖,荦"
"犢,犊"
"犧,牺,犠"
"狀,状"
"狸,貍"
"狹,狭"
"狽,狈"
"猙,狰"
"猶,犹"
"猻,狲"
"猾,獪"
"獄,狱"
"獅,狮"
"獎,奖,奨,奬"
"獨,独"
"獰,狞"
"獵,猎,猟"
"獷,犷"
"獸,兽,獣"
"獺,獭"
"獻,献"
"獼,猕"
"玀,猡"
"玟,珉,砇"
"玨,珏"
"玩,翫"
"珍,珎"
"現,现"
"球,毬"
"琅,瑯"
"琉,瑠"
"琴,珡"
"琺,珐"
"琿,珲"
"瑋,玮"
"瑣,琐"
"瑤,瑶"
"瑩,莹"
"瑪,玛"
"璃,瓈"
"璇,璿"
"璉,琏"
"璣,玑"
"環,环"
"璵,玙"
"璽,玺"
"瓊,琼"
"瓏,珑"
"瓔,璎"
"瓚,瓒"
"瓣,辨,弁,辯,辩"
"瓶,甁"
"瓷,磁"
"甌,瓯"
"甕,瓮"
"甜,甛"
"產,産,产"
"甩,摔"
"甬,埇"
"界,堺"
"畝,亩"
"畢,毕"
"畫,画,畵"
"畬,畲"
"異,异"
"當,噹,当"
"疆,畺"
"疇,畴"
"疏,疎"
"疴,痾"
"疹,胗"
"症,癥"
"痙,痉"
"痳,痲"
"痴,癡"
"痺,痹"
"瘋,疯"
"瘍,疡"
"瘓,痪"
"瘖,喑"
"瘡,疮"
"瘦,痩"
"瘧,疟"
"瘺,瘻,瘘"
"療,疗"
"癆,痨"
"癇,癎,痫"
"癟,瘪"
"癢,痒"
"癤,疖"
"癩,癞"
"癬,癣"
"癮,瘾"
"癱,瘫"
"癲,癫"
"發,髮,发,発,髪"
"百,佰"
"皋,皐"
"皓,顥,暠,皞,颢"
"皚,皑"
"皰,疱"
"皺,縐,皱,绉"
"盜,盗"
"盞,盏"
"盡,儘,尽"
"監,监"
"盤,盘"
"盧,卢"
"眇,緲,缈"
"真,眞"
"眠,緡"
"眾,衆,众"
"睜,睁"
"睞,睐"
"睹,覩"
"睿,叡"
"瞇,眯"
"瞞,瞒"
"瞠,瞪"
"瞼,睑"
"矚,瞩"
"矯,矫"
"研,硏"
"砥,厎"
"硯,砚"
"碎,砕"
"碗,椀,盌"
"碩,硕"
"碰,踫"
"確,确,碻"
"碼,码"
"磚,砖,塼"
"磧,碛"
"磯,矶"
"磴,嶝"
"礎,础"
"礙,碍"
"礦,鑛,矿,砿,鉱"
"礪,砺"
"礫,砾"
"礬,矾"
"礱,砻"
"礴,礡"
"祢,禰"
"祿,禄"
"禍,祸"
"禎,祯"
"禪,禅"
"禮,礼"
"禱,祷"
"禿,秃"
"秋,鞦,穐"
"秕,粃"
"秘,祕"
"秤,稱,称"
"稀,希"
"稅,税"
"稈,秆"
"稚,穉"
"稟,禀"
"種,种"
"稻,稲"
"稽,乩"
"稿,槁"
"積,积"
"穎,颖,頴"
"穗,穂"
"穡,穑"
"穢,秽"
"穩,稳,穏"
"穫,獲,获"
"穰,穣"
"窗,窓"
"窩,窝"
"窪,洼,漥"
"窮,穷"
"窯,窑,窰"
"窺,窥"
"竄,窜"
"竅,窍"
"竇,窦"
"竊,窃"
"競,竞"
"笑,咲"
"笮,筰"
"筆,笔"
"筍,笋"
"筒,筩"
"箋,笺"
"箏,筝"
"管,筦"
"箴,針,鍼,针"
"箸,筯"
"節,节"
"築,筑"
"篛,箬"
"篠,筱"
"篡,簒"
"篤,笃"
"篦,箆"
"篩,筛"
"篪,箎"
"篳,筚"
"簍,篓"
"簞,箪"
"簡,简"
"簫,箫"
"簷,檐"
"簽,籤,签"
"簾,帘"
"籃,篮"
"籌,筹"
"籟,籁"
"籠,笼,篭"
"籬,篱"
"籮,箩"
"粗,麁"
"粘,黏"
"粵,粤"
"粹,粋"
"糊,餬"
"糖,醣"
"糝,籸"
"糞,粪"
"糧,粮"
"糴,籴"
"系,係,繫,繋"
"糾,纠,糺"
"紀,纪"
"紂,纣"
"約,约"
"紅,红"
"紇,纥"
"紈,纨"
"紉,纫"
"紋,纹"
"納,纳"
"紐,纽"
"純,纯"
"紕,纰"
"紗,纱"
"紙,纸"
"級,级"
"紛,纷"
"紜,纭"
"紡,纺"
"紮,扎"
"累,纍"
"細,细"
"紳,绅"
"紹,绍"
"紺,绀"
"絀,绌"
"終,终"
"組,组"
"絆,绊"
"絋,絖"
"結,结"
"絕,絶,绝"
"絛,绦,縧"
"絞,绞"
"絡,络"
"絢,绚"
"給,给"
"絨,绒"
"統,统"
"絲,糸,丝"
"絳,绛"
"絹,绢"
"綁,绑"
"綏,绥"
"經,经,経"
"綜,综"
"綠,氯,菉,绿,緑"
"綢,紬,绸"
"綬,绶"
"維,维"
"綰,绾"
"綱,纲"
"網,罔,网"
"綴,缀"
"綸,纶"
"綺,绮"
"綻,绽"
"綽,绰"
"綾,绫"
"綿,绵,緜"
"緊,紧"
"緋,绯"
"緒,绪,緖"
"緘,缄"
"緙,缂"
"線,綫,线"
"緝,缉"
"緞,缎"
"締,缔,〆"
"緣,缘,縁"
"編,编"
"緩,缓"
"緬,缅"
"緯,纬"
"練,练"
"緹,缇"
"縈,萦"
"縉,缙"
"縊,缢"
"縕,韞,韫"
"縛,缚"
"縝,缜"
"縟,缛"
"縣,县,県"
"縫,缝"
"縮,缩"
"縱,纵,縦"
"縲,缧"
"縵,缦"
"縷,缕"
"縹,缥"
"總,总,摠,総"
"績,勣,绩"
"繃,绷"
"繅,繰,缫,缲"
"繆,缪"
"織,织"
"繕,缮"
"繚,缭"
"繞,绕,遶"
"繡,綉,绣,繍"
"繩,绳,縄"
"繪,绘,絵"
"繭,茧"
"繳,缴"
"繹,绎"
"繼,继,継"
"繽,缤"
"續,续,続"
"纏,缠,纒"
"纓,缨"
"纖,縴,繊,纤"
"纜,缆"
"缸,堈"
"缽,鉢,钵"
"罌,罂"
"罐,缶,鑵"
"罰,罚"
"罵,骂"
"罷,罢"
"羅,罗"
"羆,罴"
"羈,羁"
"羥,羟"
"羨,羡"
"義,义"
"羶,膻"
"習,习"
"翬,翚"
"翹,翘"
"翻,繙,飜"
"耀,曜,燿"
"考,攷"
"耉,耈"
"耙,鈀"
"耽,躭"
"聖,圣"
"聞,闻"
"聯,联"
"聰,聪,聡"
"聲,声"
"聳,耸"
"聵,聩"
"聶,聂"
"職,职"
"聽,听,聴"
"聾,聋"
"肅,肃,粛"
"肆,四"
"肉,宍"
"育,毓"
"肴,餚"
"背,揹"
"胡,鬍"
"胸,匈"
"脅,脇,胁"
"脈,脉"
"脛,胫"
"脫,脱"
"脹,胀"
"腎,肾"
"腦,脑,脳"
"腫,肿"
"腳,脚"
"腸,肠"
"膚,肤"
"膠,胶"
"膩,腻"
"膳,饍"
"膽,胆"
"膾,鱠,脍"
"膿,脓"
"臃,癰,痈"
"臉,脸"
"臍,脐"
"臏,髕,膑"
"臘,腊,臈"
"臟,髒,脏,臓"
"臠,脔"
"臢,臜"
"臥,卧"
"臨,临"
"致,緻"
"與,与"
"興,兴"
"舉,举,挙,擧"
"舊,旧"
"舍,捨,舎"
"航,桁"
"舵,柁"
"船,舡,舩"
"艙,舱"
"艦,舰"
"艱,艰"
"芸,藝,艺,蕓"
"芻,刍"
"苑,菀"
"苛,哼"
"苟,茍"
"苧,苎"
"茂,楙"
"范,範,笵"
"茅,茆"
"茏,蘢"
"茜,芊"
"茬,槎"
"茲,玆,兹"
"荇,莕"
"草,艸"
"荊,荆"
"荔,茘"
"莊,庄,荘"
"莓,苺"
"莖,茎"
"莢,荚"
"莧,苋"
"菌,蕈"
"菟,莵"
"菫,堇,蓳"
"華,华,崋"
"菰,菇,苽"
"菱,蔆"
"萇,苌"
"萊,莱"
"萌,萠"
"萎,荽"
"萬,万,卍"
"萵,莴"
"葉,叶,頁,页"
"著,着"
"葦,苇"
"葱,蔥"
"葷,荤"
"蒔,莳"
"蒙,濛,矇,懞"
"蒞,莅"
"蒲,莆"
"蒸,烝"
"蒼,苍"
"蓀,荪"
"蓋,盖"
"蓑,簑,簔"
"蓮,莲"
"蓴,莼"
"蓽,荜"
"蔑,衊"
"蔞,蒌"
"蔣,蒋"
"蔭,荫"
"蔽,蓖"
"蔿,蒍,𫇭"
"蕁,荨"
"蕊,蘂"
"蕎,荞"
"蕣,橓"
"蕩,盪,荡"
"蕪,芜"
"蕭,萧"
"薈,荟"
"薊,蓟"
"薔,蔷"
"薦,荐"
"薩,萨"
"薯,藷"
"薰,薫"
"薺,荠"
"藉,借"
"藍,蓝"
"藎,荩"
"藏,蔵"
"藤,籐"
"藥,葯,药,薬"
"藪,薮"
"藹,蔼"
"藺,蔺"
"蘄,蕲"
"蘆,芦"
"蘇,甦,穌,囌,苏,稣"
"蘊,蕴"
"蘋,苹"
"蘚,藓"
"蘭,兰"
"蘿,萝"
"虎,乕"
"處,处,処"
"虛,虚"
"虜,擄,掳,虏"
"號,号"
"虧,亏"
"虬,虯"
"虱,蝨"
"蛻,蜕"
"蜷,踡"
"蝕,蚀"
"蝟,猬"
"蝦,鰕,虾"
"蝴,葫"
"蝸,蜗"
"螞,蚂"
"螢,萤,蛍"
"螳,螗"
"螺,蠃"
"螻,蝼"
"蟄,蛰"
"蟆,蟇"
"蟈,蝈"
"蟎,螨"
"蟬,蝉"
"蟯,蛲"
"蟲,虫"
"蟻,蚁"
"蠅,蝇,蝿"
"蠍,蝎"
"蠔,螆"
"蠟,蜡,蝋"
"蠣,蛎"
"蠱,蛊"
"蠶,蚕"
"蠻,蛮"
"術,朮,术"
"衛,衞,卫"
"表,錶"
"袞,衮"
"補,补"
"裝,装"
"裴,裵"
"褒,襃"
"褲,袴,裤,絝"
"褵,縭"
"褸,褛"
"褻,亵"
"襁,繈"
"襖,袄"
"襟,衿"
"襠,裆"
"襤,褴"
"襪,袜"
"襯,衬"
"襲,袭"
"覆,複,復,复"
"見,见"
"規,规"
"覓,觅"
"視,视"
"覡,觋"
"覦,觎"
"親,亲"
"覬,觊"
"覲,觐"
"覷,觑"
"覺,觉,覚"
"覽,览,覧"
"觀,观,観"
"觴,觞"
"觸,触"
"訂,订"
"訃,讣"
"計,计"
"訊,讯"
"訌,讧"
"討,讨"
"訓,训"
"訕,讪"
"訖,讫"
"記,记"
"訛,讹"
"訝,讶"
"訟,讼"
"訣,诀"
"訥,吶,呐,讷"
"訪,访"
"設,设"
"許,许"
"訴,诉"
"診,诊"
"詁,诂"
"詆,诋"
"詐,诈"
"詒,诒"
"詔,诏"
"評,评"
"詛,诅"
"詞,词"
"詠,咏"
"詡,诩"
"詢,询"
"詣,诣"
"試,试"
"詩,诗"
"詫,诧"
"詬,诟"
"詭,诡"
"詮,诠"
